Player,Age,Team,League,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Height,Weight,Wingspan,DraftPos
Isaiah Stewart,18,Washington,NCAA,F,32,32.2,6.0,10.5,0.570,0.2,0.6,0.250,5.8,9.9,0.590,0.577,4.8,6.2,0.774,2.8,6.0,8.8,0.8,0.5,2.1,2.2,2.6,17.0,79.25,250,88.75,16
Aleksej Pokusevski,18,Olympiacos,EuroLeague,G,1,2.0,0.0,1.0,0.000,0.0,0.0,,0.0,1.0,0.000,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,83.5,190,87.0,17
Josh Green,19,Arizona,NCAA,G,30,30.9,4.1,9.6,0.424,1.0,2.8,0.361,3.1,6.8,0.449,0.476,2.8,3.6,0.780,1.3,3.3,4.6,2.6,1.5,0.4,1.6,2.4,12.0,76.5,210,81.75,18
Saddiq Bey,20,Villanova,NCAA,F,31,33.9,5.6,11.8,0.477,2.5,5.6,0.451,3.1,6.2,0.500,0.584,2.3,2.9,0.769,1.3,3.5,4.7,2.4,0.8,0.4,1.5,2.5,16.1,79,216,83,19
Precious Achiuwa,20,Memphis,NCAA,F,31,30.4,5.9,11.9,0.493,0.4,1.3,0.325,5.5,10.6,0.514,0.511,3.6,6.0,0.599,3.0,7.8,10.8,1.0,1.1,1.9,2.8,2.4,15.8,79.5,225,84.75,20
Tyrese Maxey,19,Kentucky,NCAA,G,31,34.5,4.8,11.3,0.427,1.1,3.6,0.292,3.8,7.7,0.492,0.474,3.2,3.9,0.833,0.4,3.9,4.3,3.2,0.9,0.4,2.2,2.4,14.0,74,198,79,21
Zeke Nnaji,19,Arizona,NCAA,F,32,30.7,5.6,9.8,0.570,0.2,0.5,0.294,5.4,9.3,0.586,0.578,4.8,6.3,0.760,3.1,5.5,8.6,0.8,0.7,0.9,2.2,2.4,16.1,81.25,240,86,22
Leandro Bolmaro,19,Barça,EuroLeague,F,6,9.2,0.7,3.2,0.211,0.0,0.8,0.000,0.7,2.3,0.286,0.219,0.5,0.5,1.000,0.3,0.5,0.8,2.3,1.0,0.0,1.0,2.2,1.8,78,200,79,23
RJ Hampton,18,Breakers,NBL,G,15,20.6,3.3,8.2,0.407,0.9,2.9,0.295,2.5,5.3,0.468,0.457,1.3,1.9,0.679,0.7,3.1,3.9,2.4,1.1,0.3,1.5,1.9,8.8,75.75,181,79,24
Immanuel Quickley,20,Kentucky,NCAA,G,30,33.0,4.6,11.0,0.417,2.1,4.8,0.428,2.5,6.2,0.409,0.511,4.8,5.2,0.923,0.5,3.7,4.2,1.9,0.9,0.1,1.6,2.3,16.1,74,188,80.25,25
Payton Pritchard,22,Oregon,NCAA,G,31,36.6,7.0,14.9,0.468,2.8,6.8,0.415,4.1,8.1,0.512,0.563,3.7,4.5,0.821,0.7,3.6,4.3,5.5,1.5,0.0,2.7,2.0,20.5,73,190,76,26
Udoka Azubuike,20,Kansas,NCAA,C,31,27.7,5.8,7.8,0.748,0.0,0.0,,5.8,7.8,0.748,0.748,2.1,4.7,0.441,3.5,7.0,10.5,0.9,0.5,2.6,2.5,2.4,13.7,82,270,91.25,27
Jaden McDaniels,19,Washington,NCAA,F,31,31.1,4.4,10.8,0.405,1.4,4.1,0.339,3.0,6.7,0.445,0.469,2.8,3.7,0.763,1.1,4.7,5.8,2.1,0.8,1.4,3.2,3.3,13.0,81,200,83,28
Malachi Flynn,22,San Diego State,NCAA,G,32,33.4,5.8,13.0,0.441,2.4,6.4,0.373,3.4,6.7,0.507,0.532,3.8,4.4,0.857,0.6,3.8,4.5,5.1,1.8,0.1,1.8,1.8,17.6,73,185,75,29
Desmond Bane,22,TCU,NCAA,G,32,36.0,6.2,13.6,0.452,2.9,6.5,0.442,3.3,7.1,0.461,0.557,1.4,1.8,0.789,1.4,4.9,6.3,3.9,1.5,0.5,2.3,2.2,16.6,77,215,76.25,30
Tyrell Terry,19,Stanford,NCAA,G,31,32.6,4.7,10.7,0.441,2.0,4.9,0.408,2.7,5.8,0.470,0.535,3.2,3.5,0.891,0.4,4.1,4.5,3.2,1.4,0.1,2.6,2.1,14.6,73.5,160,73.75,31
Vernon Carey Jr.,19,Duke,NCAA,C,31,24.9,6.4,11.1,0.577,0.3,0.7,0.381,6.2,10.5,0.590,0.588,4.7,7.0,0.670,2.7,6.1,8.8,1.0,0.7,1.6,2.0,2.7,17.8,82,270,84,32
Daniel Oturu,20,Minnesota,NCAA,C,31,33.9,7.7,13.6,0.563,0.6,1.7,0.365,7.1,12.0,0.590,0.585,4.1,5.8,0.707,3.7,7.5,11.3,1.1,0.5,2.5,2.8,2.7,20.1,82,240,87,33
Theo Maledon,18,ASVEL,EuroLeague,G,22,17.7,2.6,5.7,0.456,0.8,2.2,0.367,1.8,3.5,0.513,0.526,1.4,2.0,0.689,0.2,1.6,1.8,3.1,0.3,0.1,1.9,2.9,7.4,76,175,80.75,34
Xavier Tillman Sr.,21,Michigan State,NCAA,F,31,32.1,5.3,9.7,0.550,0.4,1.6,0.260,4.9,8.1,0.608,0.572,2.6,4.0,0.667,2.7,7.6,10.3,3.0,1.2,2.1,2.0,2.6,13.7,79.5,245,86,35
Tyler Bey,22,Colorado,NCAA,G,31,29.0,4.5,8.5,0.530,0.4,1.0,0.419,4.1,7.5,0.545,0.555,4.4,5.9,0.743,2.0,7.0,9.0,1.5,1.5,1.2,2.4,1.9,13.8,78,213,85.25,36
Vit Krejci,20,Zaragoza,Liga ACB,G,18,7.6,1.2,2.0,0.611,0.3,0.8,0.333,0.9,1.2,0.810,0.675,0.5,0.7,0.692,0.3,0.7,1.1,0.4,0.2,0.1,0.6,1.8,3.2,80,195,84,37
Saben Lee,20,Vanderbilt,NCAA,G,32,32.9,6.3,12.9,0.483,1.2,3.8,0.322,5.0,9.2,0.549,0.530,4.8,6.4,0.752,0.6,3.0,3.5,4.2,1.5,0.3,3.1,1.8,18.6,74,183,81,38
Elijah Hughes,22,Syracuse,NCAA,F,32,36.7,6.2,14.5,0.427,2.4,7.1,0.342,3.8,7.4,0.508,0.511,4.2,5.2,0.813,0.4,4.5,4.9,3.4,1.2,0.8,2.3,1.8,19.0,76.75,215,79.5,39
Robert Woodard,20,Mississippi State,NCAA,G,31,33.1,4.4,8.9,0.495,1.0,2.3,0.429,3.4,6.6,0.517,0.549,1.6,2.5,0.641,2.2,4.4,6.5,1.3,1.1,1.0,1.9,1.9,11.4,79,235,85,40
Tre Jones,20,Duke,NCAA,G,29,35.4,5.6,13.2,0.423,1.3,3.7,0.361,4.2,9.5,0.447,0.474,3.7,4.8,0.771,0.7,3.6,4.2,6.4,1.8,0.3,2.7,1.8,16.2,73,185,76,41
Nick Richards,22,Kentucky,NCAA,F,31,29.6,5.3,8.2,0.642,0.0,0.0,,5.3,8.2,0.642,0.642,3.5,4.7,0.752,2.6,5.2,7.8,0.2,0.1,2.1,1.6,3.2,14.0,82.5,247,86.25,42
Jahmi'us Ramsey,18,Texas Tech,NCAA,G,27,31.2,5.5,12.4,0.442,2.2,5.2,0.426,3.3,7.2,0.454,0.531,1.9,2.9,0.641,0.7,3.3,4.0,2.2,1.3,0.7,2.0,2.2,15.0,74,190,78,43
Marko Simonovic,20,Olimpija,EuroCup,C,10,22.3,3.1,6.9,0.449,1.8,3.6,0.5,1.3,3.3,0.394,0.580,2.2,2.6,0.846,0.7,3.2,3.9,1.1,0.8,0.3,0.9,1.2,10.2,84,240,88,44
Jordan Nwora,21,Louisville,NCAA,F,31,33.1,6.1,13.9,0.44,2.5,6.1,0.402,3.6,7.8,0.469,0.528,3.4,4.1,0.813,1.7,6.0,7.7,1.3,0.7,0.3,2.1,2.2,18.0,77.75,225,82.25,45
CJ Elleby,20,Washington State,NCAA,F,32,33.4,6.2,15.6,0.396,2.3,6.8,0.339,3.8,8.8,0.439,0.470,3.8,4.6,0.823,1.2,6.6,7.8,1.9,1.8,0.8,2.2,2.9,18.4,77.5,200,79.25,46
Nico Mannion,19,Arizona,NCAA,G,32,32.3,4.5,11.5,0.392,1.7,5.1,0.327,2.8,6.4,0.444,0.465,3.3,4.2,0.797,0.3,2.3,2.5,5.3,1.2,0.0,2.6,1.7,14.0,75,190,74.5,48
Isaiah Joe,20,Arkansas,NCAA,G,26,36.1,5.1,13.8,0.367,3.6,10.6,0.342,1.5,3.3,0.447,0.497,3.1,3.5,0.890,0.5,3.6,4.1,1.7,1.4,0.3,1.7,1.8,16.9,75,180,79.5,49
Skylar Mays,22,Louisiana State,NCAA,G,31,34.4,5.5,11.1,0.491,1.6,4.1,0.394,3.8,7.0,0.548,0.564,4.2,4.9,0.854,0.5,4.5,5.0,3.2,1.8,0.2,2.3,1.7,16.7,76,205,79,50
Justinian Jessup,22,Boise State,NCAA,G,32,36.0,5.4,12.6,0.426,3.1,7.7,0.397,2.3,4.9,0.471,0.547,2.2,2.3,0.959,1.0,3.5,4.4,2.1,1.4,0.5,1.3,2.2,16.0,79,202,79,51
Cassius Winston,22,Michigan State,NCAA,G,30,32.7,6.2,13.8,0.448,2.4,5.6,0.432,3.7,8.1,0.459,0.536,3.8,4.5,0.852,0.2,2.3,2.5,5.9,1.2,0.0,3.2,2.0,18.6,73,185,76,53
Cassius Stanley,21,Duke,NCAA,G,29,27.4,4.4,9.3,0.474,1.1,3.0,0.360,3.3,6.3,0.527,0.531,2.7,3.6,0.733,1.9,3.0,4.9,1.0,0.7,0.7,1.9,2.2,12.6,77,201.6,79,54
Grant Riller,23,College of Charleston,NCAA,G,31,33.5,7.3,14.7,0.499,1.5,4.2,0.362,5.8,10.5,0.554,0.551,5.7,6.9,0.827,0.5,4.6,5.1,3.9,1.6,0.3,3.1,2.3,21.9,72.25,178.4,77.25,56
Reggie Perry,20,Mississippi State,NCAA,F,31,31.1,5.9,11.8,0.500,0.7,2.3,0.324,5.2,9.5,0.542,0.531,4.8,6.3,0.768,3.1,6.9,10.1,2.3,0.8,1.2,2.9,3.1,17.4,78.5,197,82,57
Paul Reed,21,DePaul,NCAA,F,29,31.7,6.3,12.2,0.516,0.6,1.8,0.308,5.7,10.4,0.551,0.538,2.0,2.8,0.738,3.3,7.4,10.7,1.6,1.9,2.6,2.3,3.0,15.1,81,220,85.5,58
Jalen Harris,22,Nevada,NCAA,G,30,33.0,7.5,16.7,0.446,2.2,6.2,0.362,5.2,10.6,0.495,0.513,4.5,5.5,0.823,0.8,5.7,6.5,3.9,1.1,0.1,2.4,2.3,21.7,74.75,193.4,79.0,59
Sam Merrill,24,Utah State,NCAA,G,32,35.0,6.1,13.2,0.461,2.8,6.8,0.410,3.3,6.4,0.515,0.566,4.7,5.3,0.893,0.2,3.9,4.1,3.9,0.9,0.1,1.6,2.3,19.7,75.5,205,77.0,60
Anthony Gill,28,Virginia,NCAA,F,37,28.0,5.1,8.8,0.580,0.1,0.1,1.000,5.1,8.8,0.577,0.583,3.5,4.7,0.746,2.2,4.0,6.1,0.8,0.6,0.6,1.1,2.3,13.8,80,230,83,Undrafted
Facu Campazzo,29,Real Madrid,EuroLeague,G,28,23.9,2.9,7.2,0.403,1.3,4.0,0.310,1.6,3.1,0.523,0.493,2.9,3.3,0.870,0.3,1.9,2.3,7.1,1.4,0.0,2.6,2.3,9.9,70,194,73,Undrafted



