Player,Age,Team,League,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Height,Weight,Wingspan,DraftPos
Anthony Edwards,18,Georgia,NCAA,G,32,33.0,6.3,15.8,0.402,2.3,7.7,0.294,4.1,8.1,0.504,0.473,4.1,5.3,0.772,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.2,19.1,76.0,225,81.0,1
James Wiseman,18,Memphis,NCAA,C,3,23.0,6.7,8.7,0.769,0.0,0.3,0.000,6.7,8.3,0.800,0.769,6.3,9.0,0.704,4.3,6.3,10.7,0.3,0.3,3.0,1.0,1.7,19.7,84.0,235,90.0,2
LaMelo Ball,18,Hawks,NBL,G,12,31.3,6.3,16.7,0.375,1.7,6.7,0.250,4.6,10.0,0.458,,2.8,3.9,0.723,1.9,5.7,7.6,6.8,1.6,0.1,2.5,2.6,17.0,79.0,180,82.0,3
Patrick Williams,18,Florida State,NCAA,F,29,22.5,3.3,7.1,0.459,0.6,1.7,0.320,2.7,5.4,0.503,0.498,2.1,2.6,0.838,1.3,2.7,4.0,1.0,1.0,1.0,1.7,1.6,9.2,80.0,225,83.0,4
Isaac Okoro,19,Auburn,NCAA,F,28,31.5,4.5,8.7,0.514,0.7,2.5,0.286,3.8,6.2,0.607,0.556,3.2,4.8,0.672,1.9,2.5,4.4,2.0,0.9,0.9,2.0,2.7,12.9,77.0,225,81.0,5
Onyeka Okongwu,19,Southern California,NCAA,F,28,30.6,6.3,10.1,0.616,0.0,0.1,0.250,6.2,10.0,0.621,0.618,3.7,5.1,0.720,3.3,5.4,8.6,1.1,1.2,2.7,2.0,2.7,16.2,80.25,245,86.0,6
Killian Hayes,18,Ulm,EuroCup,G,10,26.8,4.6,10.1,0.455,1.6,4.1,0.390,3.0,6.0,0.500,0.534,2.0,2.2,0.909,0.1,2.2,2.3,6.2,1.5,0.2,3.3,3.2,12.8,76.75,216,80.0,7
Obi Toppin,22,Dayton,NCAA,F,31,31.6,7.9,12.5,0.633,1.0,2.6,0.390,6.9,9.8,0.698,0.674,3.2,4.5,0.702,1.2,6.4,7.5,2.2,1.0,1.2,2.2,1.6,20.0,80.75,220,86.0,8
Deni Avdija,19,Maccabi Tel Aviv,EuroLeague,G,26,14.3,1.6,3.6,0.436,0.5,1.8,0.277,1.1,1.8,0.596,,0.4,0.7,0.556,0.6,2.0,2.6,1.2,0.4,0.2,0.7,2.0,4.0,79.0,210,80.5,9
Jalen Smith,20,Maryland,NCAA,F,31,31.3,5.4,10.1,0.538,1.0,2.8,0.368,4.4,7.3,0.604,0.509,3.6,4.8,0.750,3.2,7.3,10.5,0.8,0.7,2.4,1.7,2.4,15.5,81.25,225,86.25,10
Devin Vassell,20,Florida State,NCAA,G,30,28.8,4.8,9.8,0.490,1.5,3.5,0.415,3.3,6.3,0.532,0.565,1.6,2.2,0.738,1.3,3.8,5.1,1.6,1.4,1.0,0.8,1.9,12.7,77,180,82,11
Tyrese Haliburton,20,Iowa State,NCAA,G,22,36.7,5.6,11.1,0.504,2.4,5.6,0.419,3.2,5.5,0.592,0.611,1.7,2.0,0.822,1.5,4.4,5.9,6.5,2.5,0.7,2.8,1.3,15.2,76.75,175,79.75,12
Kira Lewis Jr.,19,Alabama,NCAA,G,31,37.6,6.6,14.5,0.459,1.8,4.9,0.366,4.8,9.5,0.507,0.521,3.4,4.2,0.802,0.8,3.9,4.8,5.2,1.8,0.6,3.5,2.6,18.5,72.75,165,77,13
Aaron Nesmith,20,Vanderbilt,NCAA,F,14,35.7,7.5,14.6,0.512,4.3,8.2,0.522,3.2,6.4,0.5,0.659,3.7,4.5,0.825,0.8,4.1,4.9,0.9,1.4,0.9,1.7,2.8,23.0,77,213,82,14
Cole Anthony,19,North Carolina,NCAA,G,22,34.9,6.0,15.7,0.380,2.2,6.4,0.348,3.7,9.3,0.402,0.451,4.4,5.8,0.750,0.5,5.2,5.7,4.0,1.3,0.3,3.5,2.9,18.5,74,190,76.5,15
