Player,Age,Team,League,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Height,Weight,Wingspan,DraftPos
Andrew Nembhard,22,Gonzaga,NCAA,G,32,32.2,4.4,9.7,0.452,1.6,4.2,0.383,2.8,5.5,0.503,0.534,1.5,1.7,0.873,0.4,2.9,3.4,5.8,1.6,0.1,1.9,2.0,11.8,75.0,195.6,77.75,31
Caleb Houstan,19,Michigan,NCAA,G,34,32.0,3.2,8.4,0.384,1.8,5.0,0.355,1.4,3.4,0.426,0.489,1.9,2.4,0.783,0.8,3.2,4.0,1.4,0.7,0.2,1.5,1.7,10.1,79.5,205,83.0,32
Christian Koloko,22,Arizona,NCAA,C,37,25.4,4.9,7.8,0.635,0.0,0.1,0.000,4.9,7.7,0.642,0.635,2.7,3.7,0.735,2.6,4.7,7.3,1.4,0.8,2.8,1.6,2.8,12.6,82.75,221.0,89.25,33
Jaylin Williams,20,Arkansas,NCAA,F,37,31.6,3.8,8.3,0.461,0.5,1.9,0.239,3.4,6.4,0.527,0.489,2.8,3.8,0.729,1.5,8.3,9.8,2.6,1.3,1.1,1.8,2.6,10.9,80.75,236.6,85.0,34
Max Christie,19,Michigan State,NCAA,G,35,30.8,3.2,8.4,0.382,1.1,3.5,0.317,2.1,4.9,0.429,0.449,1.7,2.1,0.824,0.9,2.6,3.5,1.5,0.5,0.5,1.5,1.1,9.3,76.25,189.2,80.75,35
Gabriele Procida,20,Fortitudo Bologna,LBA,G,26,18.5,2.3,4.3,0.522,0.9,2.3,0.383,1.4,2.0,0.679,0.625,1.5,2.0,0.784,0.6,2.4,3.0,0.7,0.8,0.3,0.7,1.0,7.0,77.75,192.8,80.0,36
Jaden Hardy,19,IGN,NBA G League,G,25,32.6,6.9,18.3,0.376,2.3,7.5,0.309,4.6,10.8,0.426,0.439,2.2,2.7,0.794,0.6,3.7,4.3,3.6,1.2,0.2,3.4,2.4,19.5,75.5,198,81.0,37
Kennedy Chandler,19,Tennessee,NCAA,G,34,30.8,5.4,11.5,0.464,1.4,3.8,0.383,3.9,7.8,0.504,0.527,1.8,2.9,0.606,0.7,2.6,3.2,4.7,2.2,0.2,2.5,2.0,13.9,71.5,172.2,77.25,38
Khalifa Diop,20,Gran Canaria,EuroCup,C,18,15.1,2.4,4.1,0.589,0.0,0.0,0.000,2.4,4.1,0.589,0.585,0.9,1.8,0.515,1.4,2.4,3.8,0.9,0.4,0.7,1.3,2.4,5.7,83.0,230,86.0,39
Bryce McGowens,19,Nebraska,NCAA,G,31,33.3,5.2,12.8,0.403,1.3,4.7,0.274,3.9,8.1,0.478,0.453,5.2,6.3,0.831,0.7,4.5,5.2,1.4,0.7,0.3,2.1,2.0,16.8,77.25,181.2,80.75,40
E.J. Liddell,21,Ohio State,NCAA,F,32,33.2,6.3,12.9,0.490,1.4,3.8,0.374,4.9,9.1,0.540,0.546,5.3,6.9,0.765,2.3,5.7,7.9,2.5,0.6,2.6,2.4,2.5,19.4,77.5,243.0,83.75,41
Trevor Keels,18,Duke,NCAA,G,36,30.2,4.1,9.8,0.419,1.5,4.8,0.312,2.6,4.9,0.522,0.496,1.8,2.7,0.670,0.8,2.6,3.4,2.7,1.2,0.1,1.3,1.3,11.5,75.25,223.8,79.25,42
Moussa Diabate,20,Michigan,NCAA,F,32,24.9,3.7,6.8,0.542,0.1,0.4,0.214,3.6,6.3,0.564,0.549,1.6,2.6,0.619,2.4,3.6,6.0,0.8,0.3,0.9,1.5,2.7,9.0,81.25,216.6,86.5,43
Ryan Rollins,20,Toledo,NCAA,G,34,32.7,6.8,14.6,0.468,1.4,4.4,0.311,5.4,10.1,0.536,0.515,3.8,4.8,0.802,0.7,5.3,6.0,3.6,1.7,0.3,2.2,2.4,18.9,74.0,179.2,81.75,44
Josh Minott,19,Memphis,NCAA,G,33,14.6,2.5,4.8,0.522,0.1,0.4,0.143,2.5,4.4,0.559,0.528,1.5,2.0,0.754,1.6,2.2,3.8,0.9,0.8,0.7,0.9,1.8,6.6,79.5,205,83.75,45
Ismael Kamagate,21,Paris,LNB Pro A,C,34,27.1,4.4,6.8,0.643,0.0,0.0,0.000,4.4,6.8,0.643,0.647,2.6,3.9,0.654,2.4,3.9,6.3,0.7,0.7,1.6,1.7,1.8,11.3,83.0,230,87.0,46
Vince Williams Jr.,22,VCU,NCAA,G,30,32.4,4.6,9.6,0.477,2.2,5.6,0.387,2.4,4.0,0.605,0.591,2.8,3.4,0.814,0.9,5.1,6.0,3.0,1.6,1.1,2.9,2.9,14.1,76.0,210,83.0,47
Kendall Brown,19,Baylor,NCAA,G,34,27.0,3.9,6.6,0.584,0.4,1.2,0.341,3.5,5.4,0.638,0.615,1.5,2.2,0.689,1.7,3.1,4.9,1.9,1.0,0.4,1.7,2.3,9.7,78.25,201.2,83.0,48
Isaiah Mobley,22,USC,NCAA,F,32,34.1,5.0,11.3,0.445,1.3,3.8,0.352,3.7,7.5,0.492,0.504,2.8,4.0,0.682,2.2,6.1,8.3,3.3,0.8,0.9,1.9,2.0,14.2,80.0,235.0,87.0,49
Matteo Spagnolo,19,Cremona,LBA,G,25,27.0,4.3,9.7,0.440,1.2,2.7,0.441,3.1,7.0,0.440,0.505,2.5,2.9,0.861,0.6,2.9,3.5,2.6,0.8,0.0,2.6,2.2,12.2,76.0,196.2,80.0,50
Tyrese Martin,23,Connecticut,NCAA,G,29,32.1,5.0,11.1,0.449,1.5,3.4,0.430,3.5,7.6,0.457,0.516,2.1,3.1,0.689,2.3,5.2,7.5,1.9,0.8,0.5,1.8,2.1,13.6,77.5,216,80.0,51
Karlo Matkovic,21,Mega,ABA,C,25,22.0,4.8,7.9,0.606,0.0,0.1,0.000,4.8,7.8,0.615,0.608,2.0,2.8,0.710,2.7,3.4,6.1,1.1,0.5,1.1,1.6,3.1,11.6,82.0,231,86.0,52
JD Davison,19,Alabama,NCAA,G,33,25.8,3.0,6.5,0.463,0.8,2.5,0.301,2.2,4.0,0.565,0.521,1.8,2.5,0.728,1.1,3.7,4.8,4.3,1.0,0.4,2.9,1.2,8.5,72.5,191.8,78.5,53
Yannick Nzosa,18,Unicaja,Liga ACB,C,29,11.1,1.0,2.6,0.368,0.0,0.2,0.000,1.0,2.4,0.400,0.385,0.3,0.4,0.692,1.0,1.1,2.0,0.2,0.3,0.7,0.7,1.6,2.2,82.0,195.0,89.0,54
Luke Travers,20,Perth,NBL,G,27,22.0,3.0,7.1,0.417,0.6,2.5,0.250,2.3,4.6,0.508,0.459,1.3,1.9,0.680,1.4,4.0,5.4,2.3,0.9,0.7,1.6,0.9,7.8,80.0,200.0,82.0,56
Jabari Walker,19,Colorado,NCAA,F,33,28.1,4.8,10.5,0.461,1.1,3.2,0.346,3.8,7.4,0.510,0.513,3.8,4.9,0.784,2.1,7.3,9.4,1.2,0.7,0.7,2.3,2.5,14.6,78.75,213.8,82.75,57
Hugo Besson,21,New Zealand,NBL,G,25,27.6,4.7,12.2,0.385,1.9,6.3,0.306,2.8,5.9,0.469,0.463,2.6,3.3,0.795,0.5,3.4,3.9,2.5,0.5,0.0,1.8,2.7,13.9,76.5,180.4,77.5,58
Jared Rhoden,22,Seton Hall,NCAA,G,31,33.1,5.4,13.8,0.390,1.2,3.6,0.336,4.2,10.2,0.410,0.435,3.5,4.4,0.803,1.2,5.5,6.7,1.2,1.2,0.6,1.8,2.1,15.5,76.6,210,83.0,Undrafted
A.J. Lawson,20,South Carolina,NCAA,G,21,31.3,5.6,14.1,0.394,2.8,8.0,0.351,2.8,6.1,0.450,0.493,2.7,3.8,0.700,1.0,3.1,4.1,1.2,1.5,0.1,1.5,1.8,16.6,77.5,179.2,78.75,Undrafted
Orlando Robinson,21,Fresno State,NCAA,F,36,33.2,7.0,14.4,0.484,1.0,2.9,0.352,5.9,11.5,0.517,0.519,4.5,6.3,0.716,2.6,5.8,8.4,2.9,1.0,1.2,2.5,2.4,19.4,82.0,235,88.0,Undrafted
Justin Minaya,23,Providence,NCAA,F,32,33.2,2.3,5.7,0.414,1.0,3.3,0.317,1.3,2.4,0.545,0.506,0.8,1.3,0.558,2.0,3.5,5.5,1.6,0.8,0.8,1.2,2.1,6.5,77.0,210,81.0,Undrafted
Johnny Juzang,21,UCLA,NCAA,G,30,31.8,6.0,13.8,0.432,1.5,4.2,0.360,4.5,9.6,0.464,0.487,2.2,2.6,0.835,0.8,4.0,4.7,1.8,0.7,0.1,1.6,2.0,15.6,77.25,209,83.0,Undrafted
Julian Champagnie,20,St. John's (NY),NCAA,G,31,34.2,7.1,17.2,0.414,2.1,6.2,0.337,5.0,11.0,0.457,0.475,2.9,3.7,0.781,1.4,5.3,6.6,2.0,2.0,1.1,1.5,1.5,19.2,79.0,220,82.0,Undrafted
Simone Fontecchio,26,Baskonia,EuroLeague,F,31,26.5,3.9,9.1,0.431,1.6,3.9,0.402,2.4,5.2,0.453,0.516,1.5,1.8,0.857,1.2,3.2,4.4,2.4,0.9,0.2,1.7,2.1,11.0,79.0,209,83.0,Undrafted
Quenton Jackson,23,Texas A&M,NCAA,G,40,26.4,4.7,9.7,0.490,1.1,3.2,0.346,3.6,6.5,0.560,0.547,4.2,5.1,0.828,0.5,3.0,3.5,2.0,1.8,0.6,2.4,2.5,14.8,75.25,171.0,77.5,Undrafted
Jamal Cain,23,Oakland,NCAA,F,30,35.0,7.3,14.6,0.499,1.1,3.8,0.298,6.1,10.8,0.570,0.538,4.2,5.0,0.841,3.0,7.2,10.2,0.7,1.8,0.6,2.2,3.4,19.9,79.0,200.0,83.0,Undrafted
