Player,Age,Team,League,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Height,Weight,Wingspan,DraftPos
Paolo Banchero,19,Duke,NCAA,F,39,33.0,6.3,13.2,0.478,1.1,3.3,0.338,5.2,9.8,0.525,0.520,3.5,4.8,0.729,1.7,6.1,7.8,3.2,1.1,0.9,2.4,1.9,17.2,82,250,84.5,1
Chet Holmgren,20,Gonzaga,NCAA,C,32,26.9,5.3,8.8,0.607,1.3,3.3,0.390,4.0,5.5,0.727,0.680,2.2,3.1,0.717,1.8,8.1,9.9,1.9,0.8,3.7,1.9,2.7,14.1,84,195,89.25,2
Jabari Smith Jr.,19,Auburn,NCAA,F,34,28.8,5.4,12.6,0.429,2.3,5.5,0.420,3.1,7.0,0.435,0.521,3.9,4.8,0.799,0.9,6.5,7.4,2.0,1.1,1.0,1.9,2.1,16.9,82,220,85,3
Keegan Murray,21,Iowa,NCAA,F,35,31.9,8.8,15.8,0.554,1.9,4.7,0.398,6.9,11.1,0.621,0.614,4.1,5.4,0.747,2.9,5.8,8.7,1.5,1.3,1.9,1.1,1.9,23.5,80,215,83,4
Jaden Ivey,20,Purdue,NCAA,G,36,31.4,5.6,12.3,0.460,1.8,5.0,0.358,3.9,7.3,0.531,0.533,4.3,5.8,0.744,0.7,4.2,4.9,3.1,0.9,0.6,2.6,1.8,17.3,76,200,81,5
Bennedict Mathurin,19,Arizona,NCAA,G,37,32.5,5.9,13.1,0.450,2.2,6.1,0.369,3.6,7.0,0.521,0.536,3.7,4.8,0.764,1.4,4.2,5.6,2.5,1.0,0.3,1.8,1.8,17.7,76.5,204.6,81,6
Dyson Daniels,19,IGN,G League,G,29,31.6,4.6,10.2,0.453,1.0,3.4,0.300,3.6,6.8,0.529,0.500,0.8,1.6,0.533,1.9,4.9,6.8,4.7,2.0,0.7,2.7,2.2,11.6,78.0,195.2,82.5,8
Jeremy Sochan,19,Baylor,NCAA,F,30,25.1,3.3,7.0,0.474,0.8,2.7,0.296,2.5,4.3,0.585,0.531,1.8,3.0,0.589,2.0,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2,81.0,230,83.75,9
Johnny Davis,20,Wisconsin,NCAA,G,31,34.2,6.8,15.9,0.427,1.2,3.9,0.306,5.6,12.0,0.466,0.464,5.0,6.3,0.791,1.3,6.9,8.2,2.1,1.2,0.7,2.3,2.0,19.7,76.25,196.4,80.5,10
Ousmane Dieng,19,New Zealand,NBL,C,23,20.3,3.5,8.7,0.398,1.1,4.2,0.271,2.3,4.6,0.514,0.466,0.8,1.2,0.667,0.5,2.7,3.2,1.1,0.6,0.3,1.4,1.5,8.9,81.5,222,84.0,11
Jalen Williams,21,Santa Clara,NCAA,G,33,34.8,6.6,12.9,0.513,1.3,3.2,0.396,5.4,9.7,0.551,0.562,3.5,4.3,0.809,0.6,3.8,4.4,4.2,1.2,0.5,2.1,2.6,18.0,76.5,209.2,86.25,12
Jalen Duren,18,Memphis,NCAA,C,29,25.3,4.9,8.1,0.597,0.0,0.0,0.0,4.9,8.1,0.6,0.597,2.2,3.6,0.625,3.0,5.2,8.1,1.3,0.8,2.1,2.2,2.7,12.0,82.25,250,89.0,13
Ochai Agbaji,22,Kansas,NCAA,G,39,35.1,6.6,13.9,0.475,2.6,6.5,0.407,4.0,7.4,0.534,0.570,2.9,3.9,0.743,0.8,4.2,5.1,1.6,0.9,0.6,2.1,1.7,18.8,76.5,216.8,82.25,14
Mark Williams,20,Duke,NCAA,C,39,23.6,4.9,6.8,0.721,0.0,0.0,0.000,4.9,6.8,0.723,0.721,1.4,2.0,0.727,2.6,4.8,7.4,0.9,0.5,2.8,0.9,2.1,11.2,84.0,242.4,90.5,15
AJ Griffin,18,Duke,NCAA,F,39,24.0,3.7,7.6,0.493,1.8,4.1,0.447,1.9,3.5,0.547,0.613,1.1,1.4,0.792,0.8,3.2,3.9,1.0,0.5,0.6,0.6,1.1,10.4,77.5,222,83.5,16
Tari Eason,21,Louisiana State,NCAA,F,33,24.4,5.8,11.1,0.521,0.8,2.4,0.359,4.9,8.7,0.564,0.559,4.6,5.7,0.803,2.3,4.3,6.6,1.0,1.9,1.1,2.2,2.8,16.9,78.75,217.4,86.0,17
Dalen Terry,19,Arizona,NCAA,G,37,27.8,3.1,6.2,0.502,0.8,2.1,0.364,2.4,4.1,0.572,0.563,1.1,1.4,0.736,1.2,3.7,4.8,3.9,1.2,0.3,1.4,2.3,8.0,78.0,195.2,84.75,18
Jake LaRavia,20,Wake Forest,NCAA,G,33,34.2,5.0,9.0,0.559,0.8,2.2,0.384,4.2,6.8,0.616,0.606,3.7,4.8,0.777,2.1,4.5,6.6,3.7,1.7,1.0,2.7,2.8,14.6,78.75,227.2,81.5,19
Malaki Branham,19,Ohio State,NCAA,G,32,29.6,5.0,10.0,0.498,1.2,2.8,0.416,3.8,7.3,0.530,0.556,2.5,3.0,0.833,0.8,2.8,3.6,2.0,0.7,0.3,1.7,1.8,13.7,76.0,194.8,82.0,20
Christian Braun,21,Kansas,NCAA,G,40,34.4,5.2,10.5,0.495,1.3,3.3,0.386,3.9,7.2,0.545,0.556,2.5,3.4,0.733,1.4,5.1,6.5,2.8,1.0,0.8,2.0,1.8,14.1,77.5,209.2,78.5,21
Walker Kessler,20,Auburn,NCAA,F,34,25.6,4.8,7.9,0.608,0.3,1.5,0.200,4.5,6.4,0.702,0.627,1.6,2.6,0.596,2.6,5.4,8.1,0.9,1.1,4.6,1.1,2.6,11.4,84.25,256.0,88.25,22
David Roddy,21,Colorado State,NCAA,G,31,32.9,7.2,12.5,0.571,1.5,3.4,0.438,5.7,9.2,0.620,0.630,3.4,4.9,0.691,1.8,5.7,7.5,2.9,1.2,1.1,2.3,2.3,19.2,76.5,260.8,83.5,23
MarJon Beauchamp,21,IGN,G League,G,24,34.6,6.2,12.0,0.512,0.8,2.8,0.273,5.4,9.2,0.587,0.545,1.2,1.6,0.718,1.6,4.9,6.5,2.0,1.5,0.8,1.9,2.3,15.1,77.25,196.6,84.75,24
Blake Wesley,19,Notre Dame,NCAA,G,35,29.3,5.1,12.6,0.404,1.5,5.1,0.303,3.5,7.5,0.471,0.465,2.7,4.1,0.657,0.7,3.0,3.7,2.4,1.3,0.1,2.2,1.9,14.4,75.0,187.2,81.25,25
Wendell Moore Jr.,20,Duke,NCAA,F,39,33.9,4.8,9.6,0.500,1.3,3.2,0.413,3.5,6.4,0.544,0.569,2.4,3.0,0.805,1.2,4.1,5.3,4.4,1.4,0.2,1.9,1.6,13.4,76.25,217.2,84.5,26
Nikola Jovic,19,Mega,ABA,F,25,27.8,4.0,9.4,0.428,1.7,4.7,0.356,2.3,4.7,0.489,0.500,2.0,2.6,0.754,0.9,3.6,4.4,3.4,0.6,0.4,2.7,2.4,11.7,81.5,222.6,84.25,27
Patrick Baldwin Jr.,19,Milwaukee,NCAA,G,11,28.5,4.1,11.9,0.344,1.5,5.8,0.266,2.5,6.1,0.418,0.408,2.4,3.2,0.743,0.9,4.9,5.8,1.5,0.8,0.8,2.1,1.5,12.1,81.25,230.8,85.75,28
TyTy Washington Jr.,20,Kentucky,NCAA,G,31,29.2,4.9,10.9,0.451,1.2,3.3,0.350,3.7,7.5,0.496,0.504,1.5,2.1,0.750,0.6,2.8,3.5,3.9,1.3,0.2,1.6,1.5,12.5,74.25,196.4,80.0,29
Peyton Watson,19,UCLA,NCAA,G,32,12.7,1.2,3.7,0.322,0.2,1.0,0.226,1.0,2.7,0.356,0.352,0.7,1.0,0.688,0.9,2.0,2.9,0.8,0.6,0.6,0.9,1.6,3.3,78.75,203.4,84.5,30
