Player,Age,Team,League,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Height,Weight,Wingspan,DraftPos
James Bouknight,20,Connecticut,NCAA,G,15,31.7,6.5,14.6,0.447,1.5,5.0,0.293,5.1,9.6,0.528,0.498,4.2,5.4,0.778,1.5,4.1,5.7,1.8,1.1,0.3,2.8,1.9,18.7,75.5,190.0,80.25,11
Joshua Primo,18,Alabama,NCAA,G,30,22.5,2.8,6.5,0.431,1.4,3.8,0.381,1.4,2.7,0.500,0.541,1.1,1.5,0.750,1.0,2.3,3.4,0.8,0.6,0.3,1.4,1.7,8.1,76.0,189.0,81.25,12
Chris Duarte,23,Oregon,NCAA,G,26,34.1,6.2,11.6,0.532,2.3,5.5,0.424,3.8,6.0,0.631,0.633,2.5,3.0,0.810,0.7,3.9,4.6,2.7,1.9,0.8,2.3,1.4,17.1,77.0,190,79.0,13
Moses Moody,18,Arkansas,NCAA,G,32,33.8,5.2,12.1,0.427,1.8,5.1,0.358,3.3,7.0,0.478,0.503,4.7,5.8,0.812,2.0,3.8,5.8,1.6,1.0,0.7,1.6,2.3,16.8,76.5,210.6,84.75,14
Corey Kispert,22,Gonzaga,NCAA,F,32,31.8,6.5,12.3,0.529,2.8,6.5,0.440,3.7,5.9,0.628,0.644,2.7,3.1,0.878,0.9,4.0,5.0,1.8,0.9,0.4,1.3,1.7,18.6,78.0,223.8,79.0,15
Alperen Sengun,18,Beşiktaş,BSL,F,29,28.3,7.0,10.8,0.646,0.1,0.7,0.190,6.9,10.1,0.679,,5.1,6.2,0.812,4.1,5.3,9.4,2.5,1.3,1.7,2.3,3.1,19.2,83.0,243,84.0,16
Trey Murphy III,20,Virginia,NCAA,G,25,29.6,3.8,7.6,0.503,2.1,4.8,0.433,1.8,2.8,0.620,0.639,1.5,1.6,0.927,0.6,2.8,3.4,1.2,0.8,0.4,0.8,2.0,11.3,79.5,206,84.0,17
Tre Mann,20,Florida,NCAA,G,24,32.4,5.5,12.1,0.459,1.9,4.7,0.402,3.7,7.4,0.494,0.536,3.1,3.7,0.831,0.7,5.0,5.6,3.5,1.4,0.1,2.8,2.4,16.0,75.25,177.6,76.0,18
Kai Jones,20,Texas,NCAA,F,26,22.8,3.2,5.5,0.580,0.5,1.3,0.382,2.7,4.2,0.642,0.626,2.0,2.8,0.689,2.0,2.9,4.8,0.6,0.8,0.9,1.4,2.7,8.8,82.0,221.4,85.75,19
Jalen Johnson,19,Duke,NCAA,F,13,21.4,4.4,8.4,0.523,0.6,1.4,0.444,3.8,7.0,0.538,0.560,1.8,2.9,0.632,1.5,4.5,6.1,2.2,1.2,1.2,2.5,2.2,11.2,79.75,209.6,84.25,20
Keon Johnson,19,Tennessee,NCAA,G,27,25.5,4.1,9.1,0.449,0.5,1.8,0.271,3.6,7.4,0.492,0.476,2.6,3.7,0.703,1.1,2.4,3.5,2.5,1.1,0.4,2.6,2.4,11.3,75.5,184.8,79.25,21
Isaiah Jackson,19,Kentucky,NCAA,F,25,20.8,3.0,5.5,0.540,0.0,0.1,0.000,3.0,5.4,0.548,0.540,2.5,3.6,0.700,2.1,4.5,6.6,0.7,0.8,2.6,1.5,3.0,8.4,81.5,206,86.25,22
Usman Garuba,19,Real Madrid,EuroLeague,C,33,14.5,1.2,2.4,0.494,0.3,0.9,0.310,0.9,1.5,0.600,0.522,0.4,0.7,0.522,1.2,2.5,3.7,0.7,0.6,0.7,1.0,1.6,3.0,80.0,230,86.0,23
Josh Christopher,19,Arizona State,NCAA,G,15,29.7,5.1,11.7,0.432,1.2,3.9,0.305,3.9,7.8,0.496,0.483,2.9,3.7,0.800,0.7,4.1,4.7,1.4,1.5,0.5,1.7,3.2,14.3,75.25,214.8,81.25,24
Quentin Grimes,21,Houston,NCAA,G,30,32.8,5.8,14.2,0.406,3.3,8.3,0.403,2.4,5.9,0.410,0.523,3.0,3.8,0.788,1.6,4.1,5.7,2.0,1.4,0.3,1.8,2.2,17.8,76.0,209.8,80.0,25
Bones Hyland,20,VCU,NCAA,G,24,31.9,6.3,14.2,0.447,2.9,7.8,0.371,3.5,6.4,0.539,0.549,3.9,4.5,0.862,0.2,4.5,4.7,2.1,1.9,0.2,3.1,2.2,19.5,74.0,169.0,81.25,26
Cameron Thomas,19,Louisiana State,NCAA,G,29,34.0,7.0,17.2,0.406,2.3,7.2,0.325,4.7,10.0,0.464,0.474,6.7,7.6,0.882,0.6,2.8,3.4,1.4,0.9,0.2,1.7,1.4,23.0,75.0,210,78.5,27
Jaden Springer,18,Tennessee,NCAA,G,25,25.9,4.2,9.1,0.467,0.8,1.8,0.435,3.4,7.2,0.475,0.511,3.2,4.0,0.810,1.0,2.5,3.5,2.9,1.2,0.4,2.4,2.0,12.5,75.0,202,79.75,28
Day'Ron Sharpe,19,North Carolina,NCAA,F,29,19.2,3.9,7.4,0.519,0.0,0.1,0.000,3.9,7.4,0.523,0.519,1.8,3.5,0.505,3.3,4.2,7.6,1.4,0.8,0.9,2.0,2.0,9.5,81.0,265,84.0,29
Santi Aldama,20,Loyola (MD),NCAA,F,17,35.0,7.9,15.5,0.513,1.9,5.1,0.368,6.1,10.4,0.585,0.574,3.5,5.1,0.686,1.8,8.3,10.1,2.3,1.0,1.7,3.2,1.9,21.2,82.75,215,83.0,30
Isaiah Todd,19,GLI,NBA G League,F,15,24.4,4.9,11.1,0.437,1.1,3.1,0.362,3.7,8.0,0.467,,0.9,1.1,0.824,0.8,4.1,4.9,0.8,0.5,0.7,1.5,2.5,12.3,80.75,219,85.25,31
Jeremiah Robinson-Earl,20,Villanova,NCAA,F,25,34.5,6.2,12.5,0.497,0.9,3.3,0.280,5.3,9.2,0.574,0.534,2.4,3.4,0.714,2.5,6.0,8.5,2.2,1.0,0.6,1.6,2.3,15.7,79.75,242.4,81.75,32
Jason Preston,21,Ohio,NCAA,G,20,34.6,6.4,12.4,0.514,1.6,4.1,0.390,4.8,8.3,0.576,0.579,1.4,2.4,0.596,1.1,6.2,7.3,7.3,1.5,0.3,3.0,1.4,15.7,75.0,180.6,80.5,33
Rokas Jokubaitis,20,Žalgiris,EuroLeague,G,31,20.9,2.7,5.9,0.454,0.6,1.6,0.388,2.1,4.3,0.478,,1.0,1.3,0.756,0.4,1.3,1.7,2.5,0.5,0.0,1.5,1.6,7.0,77.0,194,81.0,34
Herbert Jones,22,Alabama,NCAA,F,33,27.3,3.9,8.8,0.446,0.6,1.7,0.351,3.3,7.0,0.470,0.481,2.8,3.9,0.713,2.5,4.1,6.6,3.3,1.7,1.1,2.8,2.8,11.2,78.0,206.4,84.25,35
Miles McBride,20,West Virginia,NCAA,G,29,34.2,5.4,12.6,0.431,1.6,3.8,0.414,3.8,8.7,0.439,0.495,3.4,4.2,0.813,1.2,2.7,3.9,4.8,1.9,0.3,1.8,1.7,15.9,73.0,195.2,80.75,36
JT Thor,18,Auburn,NCAA,F,27,23.0,3.1,7.1,0.440,0.8,2.7,0.297,2.3,4.3,0.530,0.497,2.3,3.1,0.741,1.6,3.4,5.0,0.9,0.8,1.4,1.6,2.0,9.4,80.5,203.0,87.25,37
Ayo Dosunmu,21,Illinois,NCAA,G,28,35.1,7.5,15.4,0.488,1.1,2.9,0.390,6.4,12.4,0.511,0.526,4.0,5.1,0.783,1.1,5.2,6.3,5.3,1.1,0.2,3.3,2.1,20.1,75.5,194.4,82.25,38
Neemias Queta,22,Utah State,NCAA,C,29,30.0,5.8,10.3,0.559,0.0,0.1,0.000,5.8,10.2,0.562,0.559,3.4,4.8,0.707,2.9,7.3,10.1,2.7,1.1,3.3,2.4,2.4,14.9,83.25,248.4,88.0,39
Jared Butler,21,Baylor,NCAA,G,30,30.3,5.9,12.5,0.471,2.6,6.2,0.416,3.3,6.4,0.524,0.573,2.4,3.0,0.780,0.4,2.9,3.3,4.8,2.0,0.4,2.8,2.4,16.7,74.25,193.0,76.0,40
Joe Wieskamp,21,Iowa,NCAA,G,31,29.3,5.2,10.6,0.491,2.4,5.1,0.462,2.8,5.5,0.518,0.602,2.1,3.1,0.677,1.2,5.5,6.6,1.7,0.9,0.3,1.4,1.5,14.8,77.75,204.8,83.0,41
Isaiah Livers,22,Michigan,NCAA,F,23,31.6,4.4,9.7,0.457,2.2,5.0,0.431,2.3,4.7,0.486,0.570,2.0,2.3,0.870,1.1,4.9,6.0,2.0,0.6,0.7,1.1,1.6,13.1,77.75,231.8,81.25,42
Greg Brown III,19,Texas,NCAA,F,26,20.6,3.1,7.4,0.420,1.2,3.5,0.330,2.0,3.9,0.500,0.497,2.0,2.8,0.708,1.2,5.0,6.2,0.4,0.6,1.0,2.3,3.0,9.3,79.25,206.4,84.25,43
Kessler Edwards,21,Pepperdine,NCAA,F,27,33.9,6.1,12.4,0.491,1.7,4.4,0.378,4.4,8.0,0.553,0.558,3.4,3.9,0.876,1.2,5.6,6.8,1.2,1.0,1.2,1.8,2.1,17.2,79.0,203.0,83.25,44
Dalano Banton,21,Nebraska,NCAA,G,27,27.3,3.3,8.1,0.411,0.7,3.0,0.247,2.6,5.1,0.507,0.457,2.1,3.3,0.659,1.0,4.9,5.9,3.9,1.0,0.9,2.5,2.1,9.6,79.75,194.4,82.25,46
David Johnson,20,Louisville,NCAA,G,19,35.1,4.7,11.5,0.411,1.7,4.4,0.386,3.1,7.2,0.426,0.484,1.5,2.1,0.700,0.9,4.9,5.8,3.2,1.1,0.3,3.2,2.7,12.6,75.25,202.8,82.5,47
Sharife Cooper,19,Auburn,NCAA,G,12,33.1,6.0,15.3,0.391,1.1,4.8,0.228,4.9,10.6,0.465,0.427,7.1,8.6,0.825,0.7,3.6,4.3,8.1,1.0,0.3,4.2,2.7,20.2,70.0,180,72.0,48
Marcus Zegarowski,22,Creighton,NCAA,G,29,33.6,5.6,12.0,0.464,2.8,6.6,0.421,2.8,5.5,0.516,0.579,1.9,2.4,0.786,0.3,3.3,3.6,4.3,1.3,0.1,2.1,1.9,15.8,72.75,180.8,74.75,49
Filip Petrusev,21,Mega,ABA,F,21,32.0,8.8,15.1,0.579,1.2,3.0,0.419,7.5,12.2,0.617,,4.9,6.6,0.739,2.0,5.7,7.6,1.6,0.5,1.1,2.3,2.5,23.6,83.0,225,84.0,50
Brandon Boston Jr.,19,Kentucky,NCAA,G,25,30.4,4.1,11.6,0.355,1.2,4.0,0.300,2.9,7.6,0.384,0.407,2.0,2.6,0.785,1.3,3.2,4.5,1.6,1.3,0.2,1.4,2.0,11.5,77.75,185,82.75,51
Luka Garza,22,Iowa,NCAA,F,31,31.5,9.1,16.4,0.553,1.4,3.2,0.440,7.6,13.2,0.581,0.596,4.5,6.4,0.709,3.0,5.7,8.7,1.7,0.7,1.6,1.5,2.3,24.1,82.0,242.8,85.5,52
Charles Bassey,20,Western Kentucky,NCAA,C,28,30.4,6.9,11.8,0.590,0.6,2.1,0.305,6.3,9.6,0.652,0.617,3.1,4.1,0.759,3.3,8.3,11.6,0.7,0.4,3.1,2.2,2.4,17.6,81.25,230.2,87.0,53
Sandro Mamukelashvili,22,Seton Hall,NCAA,F,27,35.6,6.2,14.3,0.434,1.6,4.6,0.336,4.7,9.7,0.481,0.488,3.5,4.9,0.714,1.9,5.7,7.6,3.2,1.1,0.6,3.3,1.7,17.5,81.0,239.8,85.25,54
Aaron Wiggins,22,Maryland,NCAA,G,31,33.0,5.3,11.9,0.446,1.8,5.2,0.356,3.5,6.8,0.514,0.523,2.0,2.5,0.772,1.1,4.7,5.8,2.5,1.1,0.5,2.0,2.0,14.5,76.5,190.0,81.75,55
Scottie Lewis,21,Florida,NCAA,G,21,25.6,2.7,6.1,0.445,0.7,2.1,0.318,2.0,4.0,0.512,0.500,1.8,2.6,0.673,0.8,2.3,3.1,1.5,1.6,1.0,1.9,2.5,7.9,76.0,187.6,84.0,56
Balsa Koprivica,21,Florida State,NCAA,C,24,19.5,3.7,6.1,0.599,0.0,0.0,1.000,3.6,6.1,0.596,0.602,1.8,2.5,0.689,2.1,3.5,5.6,0.8,0.3,1.4,1.3,2.6,9.1,83.75,252.2,87.25,57
Jericho Sims,22,Texas,NCAA,F,26,24.5,3.6,5.2,0.696,0.0,0.0,,3.6,5.2,0.696,0.696,2.0,3.8,0.520,2.2,5.1,7.2,0.7,0.7,1.1,1.6,2.5,9.2,81.0,250.2,87.25,58
RaiQuan Gray,21,Florida State,NCAA,F,25,26.3,4.4,8.4,0.517,0.3,1.2,0.267,4.0,7.2,0.558,0.536,2.8,3.7,0.763,1.5,4.9,6.4,2.2,1.2,0.7,2.2,2.6,11.9,78.5,268.6,82.75,59
Georgios Kalaitzakis,22,Panathinaikos,EuroLeague,F,14,4.4,0.4,0.9,0.462,0.1,0.1,0.500,0.4,0.8,0.455,,0.7,0.8,0.909,0.1,0.6,0.6,0.1,0.2,0.1,0.2,1.6,1.6,80.0,192,83.0,60
Micah Potter,23,Wisconsin,NCAA,F,31,22.2,4.5,9.0,0.504,1.3,3.3,0.386,3.3,5.8,0.570,0.573,2.2,2.6,0.840,1.8,4.1,5.9,1.4,0.5,0.7,1.4,2.0,12.5,82.0,250,85.0,Undrafted
Jay Huff,23,Virginia,NCAA,F,25,27.0,5.1,8.7,0.585,1.2,3.0,0.387,3.9,5.7,0.690,0.652,1.6,2.0,0.837,1.7,5.4,7.1,1.0,0.5,2.6,1.3,2.6,13.0,85.0,240,89.0,Undrafted
Jeff Dowtin,23,Rhode Island,NCAA,G,29,35.6,5.0,11.6,0.429,1.2,3.4,0.360,3.7,8.1,0.458,0.482,2.7,3.6,0.757,0.7,2.9,3.5,3.2,1.3,0.3,1.1,1.3,13.9,75.0,177,79.0,Undrafted
Trevelin Queen,23,New Mexico State,NCAA,G,26,27.5,4.9,10.5,0.471,2.0,5.3,0.387,2.9,5.2,0.556,0.568,1.3,1.7,0.814,2.0,3.2,5.2,2.4,1.7,0.3,1.8,2.3,13.2,77.0,190,80.0,Undrafted
Braxton Key,23,Virginia,NCAA,F,27,33.6,3.7,8.6,0.435,0.4,2.4,0.185,3.3,6.2,0.533,0.461,1.9,3.3,0.584,1.7,5.7,7.4,1.8,1.2,0.6,1.8,1.6,9.9,80.0,225,84.0,Undrafted
Marcus Garrett,22,Kansas,NCAA,G,29,33.0,4.0,8.8,0.459,0.8,2.3,0.348,3.2,6.5,0.497,0.504,2.2,2.7,0.808,0.6,4.0,4.6,3.7,1.6,0.3,1.9,2.2,11.0,77.0,205,81.0,Undrafted
David Duke Jr.,21,Providence,NCAA,G,26,37.1,5.5,14.3,0.387,2.0,5.0,0.389,3.6,9.3,0.386,0.456,3.8,4.8,0.792,1.0,5.3,6.3,4.8,1.2,0.3,3.2,3.0,16.8,76.0,204,80.0,Undrafted
Daishen Nix,19,GLI,NBA G League,G,15,26.5,3.2,8.3,0.384,0.4,2.3,0.176,2.8,6.1,0.462,,1.3,1.9,0.714,0.8,4.5,5.3,5.3,1.0,0.2,2.9,1.6,8.8,77.0,224,79.0,Undrafted
Brandon Williams,19,Arizona,NCAA,G,26,28.2,3.3,8.9,0.377,1.4,4.4,0.316,2.0,4.5,0.436,0.455,3.3,4.0,0.819,0.2,2.6,2.8,3.4,0.8,0.2,1.8,2.0,11.4,73.0,190,78.0,Undrafted
Lindy Waters III,22,Oklahoma State,NCAA,G,31,31.7,3.6,9.4,0.381,1.3,4.0,0.317,2.3,5.4,0.429,0.448,2.1,2.6,0.825,0.5,3.6,4.2,2.4,1.2,0.1,1.6,2.3,10.5,78.0,210,82.0,Undrafted
Sam Hauser,23,Virginia,NCAA,F,25,34.2,5.9,11.7,0.503,2.5,6.0,0.417,3.4,5.6,0.596,0.611,1.7,1.9,0.896,0.8,6.0,6.8,1.8,0.6,0.4,1.0,1.6,16.0,78.75,217.4,81.25,Undrafted
Justin Champagnie,20,Pittsburgh,NCAA,G,20,34.4,6.7,14.1,0.477,1.2,3.7,0.311,5.6,10.4,0.536,0.518,3.5,4.9,0.711,3.4,7.7,11.1,1.6,1.2,1.3,1.5,1.8,18.0,77.75,206.4,81.5,Undrafted
Trendon Watford,20,Louisiana State,NCAA,F,28,34.6,6.1,12.6,0.480,0.6,2.0,0.316,5.4,10.6,0.512,0.506,3.5,5.4,0.651,1.7,5.7,7.4,2.9,1.1,0.6,2.6,2.5,16.3,81.0,235,85.0,Undrafted
Jose Alvarado,23,Georgia Tech,NCAA,G,26,37.1,5.4,10.8,0.504,1.8,4.5,0.390,3.7,6.2,0.586,0.586,2.6,3.1,0.838,0.7,2.7,3.5,4.1,2.8,0.0,2.0,2.3,15.2,71.0,175,73.0,Undrafted
Jock Landale,25,Melbourne,NBL,C,35,27.5,6.2,11.4,0.545,1.4,3.7,0.388,4.8,7.7,0.620,,2.4,3.4,0.714,2.0,5.8,7.8,2.3,0.6,1.5,2.0,2.2,16.3,83.0,255,87.0,Undrafted
Austin Reaves,22,Oklahoma,NCAA,G,25,34.5,5.6,12.6,0.443,1.3,4.2,0.305,4.3,8.4,0.512,0.494,5.9,6.8,0.865,0.8,4.6,5.5,4.6,0.9,0.3,3.0,1.7,18.3,77.0,197,78.0,Undrafted
