Player,Age,Team,League,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Height,Weight,Wingspan,DraftPos
Cade Cunningham,19,Oklahoma State,NCAA,G,27,35.4,6.5,14.8,0.438,2.3,5.7,0.400,4.2,9.1,0.461,0.515,4.9,5.8,0.846,0.7,5.5,6.2,3.5,1.6,0.8,4.0,2.5,20.1,80.0,220.0,84.0,1
Jalen Green,19,GLI,NBA G League,G,15,32.0,6.3,13.6,0.461,2.1,5.7,0.365,4.2,7.9,0.529,0.538,1.9,2.3,0.829,0.5,3.5,4.1,2.8,1.5,0.3,2.7,1.7,17.9,76.0,172.0,79.5,2
Evan Mobley,19,USC,NCAA,F,33,33.9,6.0,10.3,0.578,0.4,1.2,0.300,5.6,9.1,0.615,0.595,4.1,5.8,0.694,2.7,5.9,8.7,2.4,0.8,2.9,2.2,1.8,16.4,84.0,215.0,88.0,3
Scottie Barnes,19,Florida State,NCAA,G,24,24.8,4.1,8.1,0.503,0.5,1.7,0.275,3.6,6.5,0.561,0.531,1.7,2.8,0.621,1.5,2.5,4.0,4.1,1.5,0.5,2.5,2.2,10.3,79.0,225.4,86.75,4
Jalen Suggs,19,Gonzaga,NCAA,G,30,28.9,5.2,10.3,0.503,1.2,3.5,0.337,4.0,6.8,0.588,0.560,2.9,3.8,0.754,0.6,4.7,5.3,4.5,1.9,0.3,2.9,2.6,14.4,76.0,205,78.0,5
Josh Giddey,18,Adelaide,NBL,G,28,32.1,4.1,9.5,0.427,1.0,3.5,0.293,3.0,6.0,0.506,,1.7,2.4,0.691,1.1,6.2,7.4,7.5,1.1,0.5,3.3,1.5,10.9,80.0,200,80.0,6
Jonathan Kuminga,18,GLI,NBA G League,F,13,32.8,5.5,14.3,0.387,1.2,5.0,0.246,4.3,9.3,0.463,,2.3,3.7,0.625,1.2,6.0,7.2,2.7,1.0,0.8,2.6,2.1,15.8,80.0,210,83.0,7
Franz Wagner,19,Michigan,NCAA,F,28,31.7,4.4,9.3,0.477,1.3,3.6,0.343,3.2,5.6,0.563,0.544,2.4,2.8,0.835,0.7,5.8,6.5,3.0,1.3,1.0,1.3,2.2,12.5,82.0,220,84.0,8
Davion Mitchell,22,Baylor,NCAA,G,30,33.0,5.3,10.3,0.511,2.1,4.7,0.447,3.2,5.6,0.565,0.613,1.4,2.1,0.641,0.5,2.2,2.7,5.5,1.9,0.4,2.4,2.4,14.0,72.0,202.4,76.25,9
Ziaire Williams,19,Stanford,NCAA,F,20,27.9,3.8,10.2,0.374,1.2,4.0,0.291,2.7,6.2,0.427,0.431,2.0,2.5,0.796,0.5,4.1,4.6,2.2,0.9,0.6,2.9,2.4,10.7,80.25,188.4,82.25,10
