Player,Age,Team,League,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Height,Weight,Wingspan,DraftPos
Shai Gilgeous-Alexander,19,Kentucky,NCAA,G,37,33.7,4.9,10.2,0.485,0.6,1.5,0.404,4.3,8.6,0.500,0.510,3.9,4.7,0.817,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4,76.5,180,83.5,11
Miles Bridges,20,Michigan State,NCAA,F,34,31.4,6.1,13.4,0.457,2.1,5.7,0.364,4.1,7.7,0.527,0.534,2.7,3.2,0.853,1.3,5.7,7.0,2.7,0.6,0.8,2.0,1.6,17.1,77.25,220.4,81.5,12
Jerome Robinson,21,Boston College,NCAA,G,35,36.0,7.1,14.7,0.485,2.3,5.7,0.409,4.8,9.0,0.533,0.561,4.2,5.0,0.830,0.5,3.1,3.6,3.3,0.9,0.1,2.7,2.5,20.7,76,188.4,79.25,13
Michael Porter Jr.,19,Missouri,NCAA,F,3,17.7,3.3,10.0,0.333,1.0,3.3,0.300,2.3,6.7,0.350,0.380,2.3,3.0,0.778,1.3,5.3,6.7,0.3,1.0,0.3,1.0,2.0,10.0,81.5,211.0,84.25,14
Troy Brown Jr.,18,Oregon,NCAA,F,35,31.2,4.1,9.2,0.444,0.9,3.1,0.291,3.2,6.1,0.524,0.496,2.2,3.0,0.743,1.5,4.7,6.2,3.2,1.6,0.2,2.5,2.2,11.3,77.75,208.0,82.25,15
Zhaire Smith,18,Texas Tech,NCAA,G,37,28.4,4.2,7.5,0.556,0.5,1.1,0.450,3.7,6.4,0.574,0.593,2.5,3.4,0.717,2.2,2.8,5.0,1.8,1.1,1.1,1.1,1.8,11.3,74.75,198.6,81.75,16
Donte DiVincenzo,21,Villanova,NCAA,G,40,29.3,4.7,9.8,0.481,2.1,5.3,0.401,2.6,4.5,0.575,0.587,1.9,2.7,0.710,1.2,3.6,4.8,3.5,1.1,0.2,2.0,2.1,13.4,75.5,200,78.5,17
Lonnie Walker IV,19,Miami (FL),NCAA,G,32,27.8,4.1,9.9,0.415,1.8,5.1,0.346,2.4,4.9,0.487,0.505,1.5,2.0,0.738,0.4,2.2,2.6,1.9,0.9,0.5,1.2,1.6,11.5,75.75,196.2,82.25,18
Kevin Huerter,19,Maryland,NCAA,G,32,34.4,5.1,10.1,0.503,2.3,5.5,0.417,2.8,4.6,0.605,0.619,2.3,3.1,0.758,1.0,4.1,5.0,3.4,0.6,0.7,2.5,2.4,14.8,78.25,194.0,79.5,19
Josh Okogie,19,Georgia Tech,NCAA,G,24,36.4,5.5,13.3,0.416,1.6,4.2,0.380,4.0,9.2,0.432,0.474,5.5,6.8,0.821,2.3,4.0,6.3,2.5,1.8,1.0,2.5,2.9,18.2,75,210.8,84,20
Grayson Allen,22,Duke,NCAA,G,37,35.6,4.9,11.7,0.418,2.8,7.5,0.370,2.1,4.2,0.503,0.538,2.9,3.4,0.850,0.5,2.8,3.3,4.6,1.7,0.1,2.1,2.1,15.5,75,198.0,79.25,21
Chandler Hutchison,22,Boise State,NCAA,G,31,31.0,6.6,13.9,0.475,1.5,4.1,0.359,5.1,9.8,0.523,0.528,5.3,7.2,0.728,0.9,6.8,7.7,3.5,1.5,0.3,3.4,2.4,20.0,79,190,85,22
Aaron Holiday,21,UCLA,NCAA,G,33,37.7,6.4,13.9,0.461,2.7,6.2,0.429,3.8,7.7,0.486,0.557,4.8,5.8,0.828,0.5,3.2,3.7,5.8,1.3,0.2,3.8,2.6,20.3,71.75,187,79.5,23
Moritz Wagner,21,Michigan,NCAA,F,39,27.6,5.5,10.5,0.528,1.6,4.1,0.394,3.9,6.4,0.614,0.605,1.9,2.8,0.694,1.5,5.7,7.1,0.8,1.0,0.5,1.4,3.1,14.6,82.5,241.4,84,25
Landry Shamet,21,Wichita State,NCAA,G,32,31.7,4.8,9.8,0.489,2.6,5.9,0.442,2.2,3.9,0.560,0.622,2.7,3.2,0.825,0.4,2.8,3.2,5.2,0.7,0.2,2.1,1.9,14.9,76,188.6,78.75,26
Robert Williams,20,Texas A&M,NCAA,F,30,25.6,4.6,7.3,0.632,0.0,0.4,0.000,4.6,6.9,0.668,0.632,1.1,2.3,0.471,2.4,6.9,9.2,1.4,0.8,2.6,1.7,2.2,10.4,80,237,89.5,27
Jacob Evans,21,Cincinnati,NCAA,G,36,30.8,4.5,10.5,0.427,1.7,4.5,0.370,2.8,6.0,0.470,0.507,2.4,3.2,0.754,1.4,3.3,4.7,3.1,1.3,1.0,1.8,2.0,13.0,76.25,199.6,81.25,28
Dzanan Musa,19,Olimpija,EuroCup,G,16,20.2,3.6,7.5,0.475,1.3,3.4,0.364,2.3,4.1,0.569,0.562,2.1,2.8,0.756,0.4,2.8,3.2,0.9,0.7,0.3,1.4,1.4,10.5,80,217,81,29
Omari Spellman,20,Villanova,NCAA,F,40,28.1,4.0,8.4,0.476,1.6,3.8,0.433,2.4,4.7,0.511,0.573,1.2,1.8,0.700,2.3,5.8,8.0,0.8,0.7,1.5,1.0,2.3,10.9,80,253.8,86,30
Élie Okobo,20,Élan Béarnais,Euro,F,34,26.3,4.5,9.5,0.475,1.9,4.7,0.394,2.7,4.8,0.555,0.575,2.0,2.4,0.819,0.4,2.4,2.8,4.8,0.9,0.2,2.7,2.0,12.9,75,190,80,31
Jevon Carter,22,West Virginia,NCAA,G,37,35.5,5.8,13.8,0.422,2.1,5.3,0.393,3.7,8.5,0.441,0.498,3.6,4.2,0.858,0.8,3.9,4.6,6.6,3.0,0.4,2.6,3.0,17.3,72.25,196.2,76.25,32
Jalen Brunson,21,Villanova,NCAA,G,40,31.8,6.8,13.0,0.521,2.2,5.3,0.408,4.6,7.7,0.599,0.604,3.3,4.1,0.802,0.3,2.8,3.1,4.6,0.9,0.0,1.8,2.0,18.9,73,198.4,76,33
Devonte' Graham,23,Kansas,NCAA,G,39,37.8,5.1,12.8,0.400,2.8,6.9,0.406,2.3,5.8,0.392,0.510,4.3,5.2,0.827,0.6,3.4,4.0,7.2,1.6,0.1,2.8,1.4,17.3,72.25,186.4,78.25,34
Melvin Frazier,21,Tulane,NCAA,G,30,34.4,6.0,10.7,0.556,1.2,3.0,0.385,4.8,7.7,0.623,0.610,2.8,3.9,0.712,1.2,4.4,5.6,2.9,2.2,0.7,2.6,2.0,15.9,76.5,198.2,85.75,35
Gary Trent Jr.,19,Duke,NCAA,G,37,33.9,4.8,11.5,0.415,2.6,6.5,0.402,2.2,5.0,0.430,0.528,2.3,2.6,0.876,0.8,3.4,4.2,1.4,1.2,0.1,1.0,1.7,14.5,76.25,204.2,80.75,37
Khyri Thomas,22,Creighton,NCAA,G,33,31.7,5.6,10.4,0.538,1.9,4.6,0.411,3.7,5.8,0.639,0.629,2.0,2.6,0.788,1.1,3.3,4.4,2.8,1.7,0.2,1.8,1.9,15.1,74.5,198.8,82.5,38
Rodions Kurucs,20,Barça,EuroLeague,F,4,4.0,0.0,0.5,0.000,0.0,0.0,,0.0,0.5,0.000,,0.0,0.0,,0.0,0.8,0.8,0.0,0.5,0.0,0.3,1.0,0.0,82,228,84,40
Jarred Vanderbilt,19,Kentucky,NCAA,F,14,17.0,2.1,4.9,0.426,0.0,0.1,0.000,2.1,4.8,0.433,0.426,1.7,2.7,0.632,3.3,4.6,7.9,1.0,0.4,0.8,1.1,2.6,5.9,80.5,214,85,41
Bruce Brown,21,Miami (FL),NCAA,G,19,33.7,4.1,9.9,0.415,0.8,3.2,0.267,3.3,6.7,0.484,0.457,2.3,3.7,0.629,1.3,5.8,7.1,4.0,1.3,0.8,2.3,2.3,11.4,75.5,194.6,81,42
Justin Jackson,21,Maryland,NCAA,F,11,29.2,3.4,9.2,0.366,0.9,3.6,0.25,2.5,5.5,0.443,0.416,2.2,2.6,0.828,2.5,5.6,8.1,1.9,0.8,0.8,2.9,1.4,9.8,78,229.4,87,43
Hamidou Diallo,19,Kentucky,NCAA,G,37,24.8,3.6,8.5,0.428,0.7,2.1,0.338,2.9,6.4,0.458,0.470,2.1,3.4,0.616,0.9,2.8,3.6,1.2,0.8,0.4,1.4,2.6,10.0,76.25,197.0,83.5,45
De'Anthony Melton,19,Southern California,NCAA,G,36,27.0,2.8,6.4,0.437,0.6,2.1,0.284,2.2,4.4,0.510,0.483,2.1,3.0,0.706,1.4,3.3,4.7,3.5,1.9,1.0,1.8,2.3,8.3,74.25,193.2,80.5,46
Svi Mykhailiuk,20,Kansas,NCAA,G,39,34.5,5.3,12.1,0.434,2.9,6.6,0.444,2.3,5.5,0.423,0.556,1.2,1.4,0.804,1.1,2.8,3.9,2.7,1.2,0.3,1.7,2.5,14.6,78.5,211.6,76.75,47
Keita Bates-Diop,22,Ohio State,NCAA,F,34,33.1,7.3,15.1,0.480,1.9,5.4,0.359,5.3,9.7,0.547,0.544,3.3,4.1,0.794,1.5,7.2,8.7,1.6,0.9,1.6,1.8,1.7,19.8,79.25,223.8,87.25,48
Chimezie Metu,21,Southern California,NCAA,F,34,31.0,6.0,11.5,0.523,0.4,1.2,0.300,5.7,10.4,0.548,0.538,3.3,4.5,0.730,1.9,5.6,7.4,1.6,0.8,1.7,2.0,2.6,15.7,80.5,219.6,84.5,49
Alize Johnson,22,Missouri State,NCAA,F,33,31.2,5.2,12.1,0.430,1.2,4.4,0.281,4.0,7.7,0.516,0.481,3.3,4.4,0.759,3.2,8.5,11.6,2.8,0.5,0.4,2.2,2.1,15.0,79.25,216.6,80.75,50
Tony Carr,20,Penn State,NCAA,G,37,35.4,6.6,16.2,0.408,2.4,5.5,0.433,4.2,10.7,0.395,0.482,4.0,5.0,0.799,0.9,4.1,4.9,5.0,0.8,0.3,2.3,1.8,19.6,75,198.8,80.25,51
Vince Edwards,22,Purdue,NCAA,F,35,31.6,5.1,10.8,0.476,1.5,3.7,0.398,3.7,7.1,0.516,0.544,2.9,3.4,0.833,2.0,5.4,7.4,2.9,0.5,0.6,2.0,1.8,14.6,79,220,84,52
Devon Hall,22,Virginia,NCAA,G,34,32.1,3.9,8.6,0.454,1.7,3.9,0.432,2.2,4.7,0.472,0.552,2.2,2.5,0.894,0.4,3.9,4.2,3.1,0.9,0.1,1.0,1.4,11.7,76.25,206.4,79.75,53
Shake Milton,21,SMU,NCAA,G,22,36.4,5.6,12.5,0.449,2.5,5.9,0.434,3.0,6.6,0.462,0.551,4.3,5.0,0.847,0.6,4.0,4.7,4.4,1.4,0.6,2.3,1.7,18.0,76.5,207.2,84.75,54
Arnoldas Kulboka,20,Orlandina,LBA,G,29,26.1,2.6,7.1,0.366,1.6,4.4,0.367,1.0,2.7,0.364,0.479,1.5,1.9,0.815,0.3,3.2,3.5,0.7,0.9,0.2,1.4,1.1,8.3,82,214,83,55
Raymond Spalding,21,Louisville,NCAA,F,36,27.6,5.1,9.4,0.543,0.1,0.5,0.263,4.9,8.8,0.560,0.550,2.0,3.2,0.640,3.1,5.5,8.7,1.3,1.5,1.7,1.7,3.0,12.3,81,215,88.75,56
Kevin Hervey,22,UT Arlington,NCAA,F,33,32.2,7.4,16.5,0.446,2.3,6.9,0.339,5.0,9.6,0.522,0.517,3.4,4.2,0.807,2.3,6.2,8.5,2.2,1.2,0.6,2.7,1.8,20.5,78.5,211.6,87.5,57
Thomas Welsh,22,UCLA,NCAA,C,33,33.2,4.9,10.1,0.485,1.4,3.4,0.402,3.5,6.7,0.527,0.552,1.5,1.8,0.828,2.6,8.2,10.8,1.4,0.7,0.9,1.0,2.4,12.6,84,245,83,58
George King,24,Colorado,NCAA,G,32,28.5,4.4,10.0,0.445,1.9,4.9,0.395,2.5,5.1,0.494,0.542,2.1,2.7,0.782,1.8,6.1,7.8,1.1,0.5,0.7,2.0,2.4,12.9,76.75,218.6,83.5,59
Kostas Antetokounmpo,20,Dayton,NCAA,F,29,15.1,2.0,3.5,0.574,0.1,0.5,0.133,1.9,3.0,0.651,0.584,1.1,2.2,0.516,0.8,2.0,2.9,0.4,0.2,1.1,1.3,2.3,5.2,81,194.8,86.25,60
