Player,Age,Team,League,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Height,Weight,Wingspan,DraftPos
Deandre Ayton,19,Arizona,NCAA,F,35,33.5,7.9,12.9,0.612,0.3,1.0,0.343,7.5,11.9,0.635,0.625,4.0,5.5,0.733,3.4,8.2,11.6,1.6,0.6,1.9,2.0,2.3,20.1,83,250,90,1
Marvin Bagley III,19,Duke,NCAA,F,33,33.9,8.2,13.3,0.614,0.7,1.8,0.397,7.5,11.6,0.647,0.640,4.0,6.3,0.627,4.0,7.1,11.1,1.5,0.8,0.9,2.3,1.8,21.0,82.5,234,84,2
Luka Dončić,19,Real Madrid,EuroLeague,G,33,25.9,4.7,10.5,0.451,1.7,5.2,0.329,3.0,5.2,0.572,0.532,4.8,5.9,0.816,0.8,4.0,4.8,4.3,1.1,0.3,2.3,1.5,16.0,78.5,218,83,3
Jaren Jackson Jr.,18,Michigan State,NCAA,F,35,21.8,3.4,6.6,0.513,1.1,2.7,0.396,2.3,3.9,0.596,0.598,3.0,3.8,0.797,1.5,4.3,5.8,1.1,0.6,3.0,1.8,3.2,10.9,81.75,236,89.25,4
Trae Young,19,Oklahoma,NCAA,G,32,35.4,8.2,19.3,0.422,3.7,10.3,0.360,4.5,9.1,0.493,0.521,7.4,8.6,0.861,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,72.5,177.8,75,5
Mo Bamba,19,Texas,NCAA,F,30,30.2,4.9,9.0,0.541,0.5,1.7,0.275,4.4,7.3,0.603,0.572,2.7,4.0,0.681,3.2,7.3,10.5,0.5,0.8,3.7,1.5,2.5,12.9,83.25,225.6,94,6
Wendell Carter Jr.,18,Duke,NCAA,F,37,26.9,4.8,8.6,0.561,0.5,1.2,0.413,4.3,7.4,0.586,0.587,3.4,4.5,0.738,2.9,6.1,9.1,2.0,0.8,2.1,2.0,2.8,13.5,80.75,251.4,88.5,7
Collin Sexton,19,Alabama,NCAA,G,33,29.9,5.9,13.3,0.447,1.3,4.0,0.336,4.6,9.3,0.495,0.492,5.9,7.6,0.778,1.0,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2,72.5,183.0,79.25,8
Kevin Knox,18,Kentucky,NCAA,F,37,32.4,5.3,11.9,0.445,1.5,4.5,0.341,3.8,7.4,0.509,0.508,3.4,4.4,0.774,0.9,4.5,5.4,1.4,0.8,0.3,2.3,2.2,15.6,79.75,212.6,83.75,9
Mikal Bridges,21,Villanova,NCAA,F,40,32.1,6.1,11.9,0.514,2.6,6.0,0.435,3.5,5.9,0.593,0.622,2.9,3.4,0.851,1.4,4.0,5.3,1.9,1.5,1.1,1.4,2.2,17.7,77.75,191,85,10
