Player,Age,Team,League,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Height,Weight,Wingspan,DraftPos
Victor Wembanyama,19,Paris,LNB Pro A,C,34,32.1,7.5,15.9,0.470,1.4,5.0,0.275,6.1,10.9,0.561,0.516,5.2,6.3,0.828,2.0,8.4,10.4,2.4,0.7,3.0,2.6,2.0,21.6,88,235,96,1
Brandon Miller,20,Alabama,NCAA,F,37,32.6,6.0,13.9,0.430,2.9,7.5,0.384,3.1,6.5,0.483,0.533,3.9,4.6,0.859,2.1,6.2,8.2,2.1,0.9,0.9,2.2,2.4,18.8,79,200,83,2
Scoot Henderson,19,GLI,G League,G,19,30.7,6.1,14.1,0.429,0.7,2.7,0.275,5.3,11.4,0.465,0.457,2.2,2.9,0.764,1.1,4.3,5.4,6.5,1.1,0.5,3.5,3.3,16.5,74,195,82,3
Amen Thompson,20,City Reapers,Overtime Elite,G,16,27.5,6.5,11.5,0.566,0.7,2.7,0.250,5.9,8.9,0.662,0.596,2.7,4.1,0.656,1.2,4.7,5.9,5.9,2.3,0.9,3.2,2.1,16.4,77.75,214.2,84,4
Ausar Thompson,20,City Reapers,Overtime Elite,G,15,30.6,5.0,14.0,0.357,0.0,4.0,0.000,5.0,10.0,0.500,0.357,4.0,6.0,0.667,1.0,3.0,4.0,4.0,1.0,0.0,1.0,5.0,14.0,77.75,218.2,84,5
Anthony Black,19,Arkansas,NCAA,G,36,34.9,4.1,9.1,0.453,0.8,2.6,0.301,3.4,6.6,0.513,0.495,3.7,5.3,0.705,1.3,3.8,5.1,3.9,2.1,0.6,3.0,2.6,12.8,77.75,210,79.5,6
Bilal Coulibaly,18,Paris,LNB Pro A,G,27,18.1,1.9,3.5,0.532,0.5,1.1,0.452,1.3,2.3,0.571,0.614,0.8,1.4,0.595,0.8,2.3,3.1,0.8,0.8,0.2,0.9,1.5,5.0,80,194,86,7
Jarace Walker,19,Houston,NCAA,F,36,27.6,4.4,9.4,0.465,1.0,2.8,0.347,3.4,6.6,0.515,0.516,1.5,2.2,0.663,2.3,4.5,6.8,1.8,1.0,1.3,1.5,2.1,11.2,78.5,248.6,86.5,8
Taylor Hendricks,19,UCF,NCAA,F,34,34.7,5.4,11.3,0.478,1.8,4.6,0.394,3.6,6.8,0.535,0.557,2.5,3.2,0.782,2.4,4.6,7.0,1.4,0.9,1.7,1.4,2.0,15.1,80.25,213.6,84.5,9
Cason Wallace,19,Kentucky,NCAA,G,32,32.2,4.3,9.8,0.446,1.4,4.0,0.346,3.0,5.8,0.514,0.516,1.7,2.2,0.757,0.9,2.8,3.7,4.3,2.0,0.5,2.1,2.4,11.7,74.5,195.2,80.5,10
Jett Howard,19,Michigan,NCAA,G,29,31.8,4.7,11.4,0.414,2.7,7.3,0.368,2.0,4.1,0.496,0.532,2.1,2.6,0.800,0.3,2.6,2.8,2.0,0.4,0.7,1.3,2.2,14.2,80,215,81,11
Dereck Lively II,19,Duke,NCAA,C,34,20.6,2.3,3.4,0.658,0.1,0.4,0.154,2.2,3.1,0.721,0.667,0.6,1.0,0.600,2.1,3.3,5.4,1.1,0.5,2.4,0.7,2.7,5.2,85,230,85,12
Gradey Dick,19,Kansas,NCAA,G,36,32.7,4.8,10.9,0.442,2.3,5.7,0.403,2.5,5.2,0.484,0.547,2.1,2.5,0.854,1.1,4.0,5.1,1.7,1.4,0.3,1.3,2.1,14.1,78.25,204,80.75,13
Jordan Hawkins,21,Connecticut,NCAA,G,37,29.4,4.9,12.0,0.409,2.9,7.6,0.388,2.0,4.4,0.445,0.531,3.4,3.8,0.887,1.0,2.8,3.8,1.3,0.7,0.5,1.4,2.2,16.2,76.25,186,78.75,14
Kobe Bufkin,19,Michigan,NCAA,G,33,34.0,5.2,10.9,0.482,1.3,3.7,0.355,3.9,7.2,0.546,0.542,2.2,2.6,0.849,0.8,3.8,4.5,2.9,1.3,0.7,1.9,2.4,14.0,76.25,186.8,79.75,15
Keyonte George,19,Baylor,NCAA,G,33,28.6,4.7,12.5,0.376,2.3,6.9,0.338,2.4,5.6,0.424,0.470,3.6,4.5,0.793,1.0,3.2,4.2,2.8,1.1,0.2,2.9,2.1,15.3,76,185,77,16
Jalen Hood-Schifino,20,Indiana,NCAA,G,32,33.1,5.3,12.6,0.417,1.2,3.5,0.333,4.1,9.1,0.449,0.463,1.8,2.4,0.776,0.4,3.7,4.1,3.7,0.8,0.3,2.8,2.4,13.5,76.25,216.6,82.25,17
