Player,Age,Team,League,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Height,Weight,Wingspan,DraftPos
Jaime Jaquez Jr.,22,UCLA,NCAA,F,37,33.2,7.1,14.7,0.481,0.9,2.8,0.317,6.2,11.9,0.519,0.511,2.8,3.6,0.770,2.6,5.6,8.2,2.4,1.5,0.6,1.8,1.9,17.8,78,226.4,81.5,18
Brandin Podziemski,20,Santa Clara,NCAA,G,32,36.0,6.9,14.4,0.483,2.5,5.8,0.438,4.4,8.6,0.513,0.571,3.5,4.5,0.771,1.8,7.0,8.8,3.7,1.8,0.5,2.3,1.9,19.9,75.75,203.8,77.5,19
Cam Whitmore,18,Villanova,NCAA,G,26,27.3,4.7,9.8,0.478,1.4,4.2,0.343,3.3,5.7,0.578,0.551,1.7,2.5,0.703,0.8,4.5,5.3,0.7,1.4,0.3,1.6,1.7,12.5,77.75,235,80.5,20
Noah Clowney,18,Alabama,NCAA,F,36,25.4,3.4,7.0,0.486,0.9,3.3,0.283,2.5,3.7,0.669,0.553,2.0,3.1,0.649,2.1,5.8,7.9,0.8,0.6,0.9,1.3,2.5,9.8,82,210,86,21
Dariq Whitehead,18,Duke,NCAA,F,28,20.6,3.0,7.0,0.421,1.5,3.5,0.429,1.5,3.5,0.414,0.528,0.8,1.0,0.793,0.5,2.0,2.4,1.0,0.8,0.2,1.4,1.5,8.3,77.75,217.2,82.25,22
Kris Murray,22,Iowa,NCAA,F,29,34.9,7.5,15.7,0.476,2.3,6.8,0.335,5.2,8.9,0.583,0.548,3.0,4.1,0.729,2.8,5.2,7.9,2.0,1.0,1.2,1.5,2.1,20.2,79.75,212.8,83.75,23
Olivier-Maxence Prosper,20,Marquette,NCAA,G,36,29.1,4.2,8.1,0.512,1.1,3.2,0.339,3.1,4.9,0.624,0.578,3.1,4.2,0.735,1.7,3.0,4.7,0.7,0.9,0.1,1.4,2.3,12.5,78.75,212.4,85.0,24
Marcus Sasser,22,Houston,NCAA,G,36,30.8,5.3,12.1,0.438,2.7,6.9,0.384,2.6,5.1,0.511,0.548,3.6,4.2,0.848,0.4,2.5,2.8,3.1,1.6,0.2,1.6,1.5,16.8,73.25,195.6,79.0,25
Ben Sheppard,21,Belmont,NCAA,G,32,34.4,6.8,14.2,0.475,2.5,6.0,0.415,4.3,8.2,0.519,0.563,2.8,4.2,0.684,0.6,4.6,5.2,2.9,1.4,0.2,2.2,2.1,18.8,77.25,194.6,79.75,26
Nick Smith Jr.,19,Arkansas,NCAA,G,17,25.8,4.5,11.9,0.376,1.4,4.2,0.338,3.1,7.7,0.397,0.436,2.2,2.9,0.740,0.2,1.4,1.6,1.7,0.8,0.1,1.6,1.5,12.5,77.0,185,80.0,27
Brice Sensabaugh,19,Ohio State,NCAA,F,33,24.5,6.0,12.4,0.480,1.8,4.5,0.405,4.2,7.9,0.523,0.554,2.5,3.0,0.830,1.3,4.1,5.4,1.2,0.5,0.4,2.0,2.5,16.3,78.0,235,85.0,28
Julian Strawther,21,Gonzaga,NCAA,G,37,31.2,5.1,10.9,0.469,2.2,5.3,0.408,3.0,5.6,0.526,0.568,2.8,3.6,0.776,0.8,5.5,6.2,1.3,0.8,0.4,1.5,2.1,15.2,78.0,208.8,81.25,29
Kobe Brown,23,Missouri,NCAA,F,34,29.6,5.7,10.3,0.553,1.5,3.3,0.455,4.2,7.0,0.598,0.625,2.9,3.7,0.792,1.8,4.6,6.4,2.5,1.5,0.4,1.6,2.5,15.8,78.5,252.2,84.75,30
James Nnaji,18,Barça,EuroLeague,C,15,6.0,0.9,1.1,0.765,0.0,0.0,0.000,0.9,1.1,0.765,0.818,0.3,0.6,0.444,0.5,0.7,1.2,0.3,0.0,0.4,0.7,1.0,2.0,83.0,226,91.0,31
Jalen Pickett,23,Penn State,NCAA,G,37,36.6,7.0,13.8,0.508,1.2,3.2,0.381,5.8,10.6,0.546,0.552,2.4,3.2,0.763,1.2,6.2,7.4,6.6,0.9,0.5,2.3,2.1,17.7,74.0,197.8,79.25,32
Leonard Miller,19,GLI,NBA G League,F,24,30.5,7.3,13.0,0.556,0.7,2.2,0.327,6.5,10.9,0.602,0.588,1.6,2.0,0.792,3.3,7.8,11.0,1.6,0.9,0.8,1.5,2.5,18.0,81.25,212.8,86.0,33
Colby Jones,21,Xavier,NCAA,G,36,34.0,5.8,11.3,0.509,1.3,3.3,0.378,4.5,8.0,0.563,0.564,2.3,3.4,0.653,1.3,4.5,5.7,4.4,1.3,0.6,2.3,2.1,15.0,76.5,199.2,80.0,34
Julian Phillips,19,Tennessee,NCAA,F,32,24.1,2.5,6.0,0.411,0.3,1.4,0.239,2.1,4.6,0.466,0.440,3.0,3.7,0.822,1.8,2.9,4.7,1.4,0.6,0.5,1.3,1.8,8.3,78.75,196.6,83.5,35
Andre Jackson Jr.,21,Connecticut,NCAA,G,36,29.1,2.6,5.9,0.432,0.7,2.5,0.281,1.9,3.4,0.540,0.491,0.9,1.3,0.646,1.9,4.3,6.2,4.7,1.1,0.5,2.0,2.8,6.7,77.5,198.4,81.75,36
Hunter Tyson,23,Clemson,NCAA,F,34,34.7,5.1,10.6,0.479,2.4,6.0,0.405,2.6,4.5,0.578,0.595,2.7,3.3,0.838,1.3,8.3,9.6,1.5,0.9,0.1,1.0,1.8,15.3,79.5,208.8,81.75,37
Jordan Walsh,19,Arkansas,NCAA,F,36,24.4,2.6,6.0,0.433,0.6,2.0,0.278,2.1,4.0,0.510,0.479,1.3,1.8,0.712,1.2,2.7,3.9,0.9,1.1,0.5,1.0,2.9,7.1,77.75,204.0,85.75,38
Mouhamed Gueye,20,Washington State,NCAA,F,33,32.1,5.6,11.5,0.488,0.3,1.2,0.275,5.3,10.3,0.513,0.503,2.7,4.0,0.674,3.4,5.0,8.4,1.9,0.8,0.8,2.3,2.8,14.3,82.25,212.6,87.25,39
Maxwell Lewis,20,Pepperdine,NCAA,F,31,31.4,6.1,13.0,0.468,1.5,4.3,0.348,4.6,8.7,0.526,0.525,3.5,4.4,0.787,1.2,4.5,5.7,2.8,0.8,0.8,3.3,2.7,17.1,78.25,207.2,84.0,40
Amari Bailey,19,UCLA,NCAA,G,30,26.9,4.5,9.1,0.495,0.7,1.8,0.389,3.8,7.3,0.521,0.533,1.5,2.1,0.698,0.8,3.0,3.8,2.2,1.1,0.3,2.4,1.7,11.2,75.25,190.8,79.0,41
Tristan Vukcevic,20,Partizan,EuroLeague,C,12,6.6,0.4,1.5,0.278,0.2,0.7,0.25,0.3,0.8,0.3,0.333,0.1,0.1,1.0,0.2,1.0,1.2,0.6,0.3,0.3,0.5,1.8,1.1,83.25,223.4,86.5,42
Rayan Rupert,19,New Zealand,NBL,G,20,19.7,2.4,6.5,0.364,0.6,2.4,0.25,1.8,4.1,0.432,0.415,1.3,1.9,0.703,0.7,1.8,2.5,1.0,0.8,0.2,1.2,2.0,6.6,78.0,193.2,86.0,43
Sidy Cissoko,19,GLI,G League,F,28,29.3,4.3,9.5,0.457,1.1,3.6,0.304,3.2,5.8,0.552,0.511,1.8,2.7,0.645,0.8,2.0,2.8,3.5,1.2,1.0,1.9,3.3,12.8,77.5,223.8,81.75,44
GG Jackson II,18,South Carolina,NCAA,F,32,31.9,5.5,14.4,0.384,1.7,5.3,0.324,3.8,9.1,0.419,0.444,2.6,3.9,0.677,1.5,4.4,5.9,0.8,0.8,0.8,2.7,1.5,15.4,80.25,214.4,83.5,45
Seth Lundy,23,Penn State,NCAA,F,36,31.7,4.6,10.2,0.450,2.6,6.4,0.400,2.0,3.8,0.533,0.575,2.4,3.0,0.807,0.9,5.3,6.3,0.9,0.8,0.6,0.9,2.2,14.2,76.0,214.4,82.25,46
Mojave King,21,GLI,NBA G League,G,30,25.1,2.9,7.1,0.413,0.6,2.3,0.243,2.4,4.8,0.497,0.451,1.0,1.2,0.806,1.0,3.7,4.7,1.2,0.4,0.3,0.8,1.5,8.1,75.75,200.6,80.0,47
Jordan Miller,23,Miami (FL),NCAA,G,37,35.0,5.9,10.8,0.545,0.9,2.5,0.352,5.0,8.4,0.602,0.585,2.6,3.4,0.784,2.1,4.2,6.2,2.7,1.2,0.4,1.3,1.7,15.3,76.5,191.6,83.75,48
Emoni Bates,19,Eastern Michigan,NCAA,F,30,33.8,6.4,15.9,0.405,2.5,7.7,0.330,3.9,8.2,0.474,0.484,3.8,4.9,0.782,0.7,5.1,5.8,1.4,0.7,0.5,2.5,2.3,19.2,80.25,179.2,81.0,49
Keyontae Johnson,23,Kansas State,NCAA,F,36,34.1,6.6,12.7,0.516,1.3,3.2,0.405,5.3,9.5,0.554,0.568,3.0,4.2,0.715,1.5,5.3,6.8,2.1,1.0,0.2,2.9,2.4,17.4,76.0,238.6,84.0,50
Jalen Wilson,22,Kansas,NCAA,F,36,35.4,6.9,16.0,0.430,1.9,5.8,0.337,4.9,10.2,0.482,0.490,4.4,5.5,0.799,1.6,6.7,8.3,2.2,0.9,0.5,2.3,2.1,20.1,77.5,230.2,80.0,51
Toumani Camara,23,Dayton,NCAA,F,34,30.0,5.2,9.6,0.546,0.9,2.4,0.363,4.4,7.2,0.606,0.590,2.6,3.9,0.669,2.3,6.3,8.6,1.7,1.2,0.8,2.1,2.6,13.9,79.0,220.4,84.5,52
Jaylen Clark,21,UCLA,NCAA,G,30,30.5,4.9,10.3,0.481,0.9,2.6,0.329,4.1,7.6,0.533,0.523,2.2,3.2,0.698,1.9,4.1,6.0,1.9,2.6,0.3,1.2,2.1,13.0,76.0,204.2,81.0,53
Jalen Slawson,23,Furman,NCAA,F,36,30.7,5.4,9.6,0.556,1.1,2.9,0.394,4.2,6.8,0.626,0.615,3.7,4.8,0.775,1.8,5.3,7.1,3.2,1.5,1.5,2.6,2.8,15.6,78.5,221.6,83.75,54
Isaiah Wong,22,Miami (FL),NCAA,G,37,33.4,5.2,11.6,0.445,1.6,4.3,0.384,3.5,7.4,0.482,0.516,4.1,4.9,0.845,1.1,3.3,4.3,3.2,1.4,0.4,2.1,1.8,16.2,74.5,178.4,78.75,55
Tarik Biberovic,22,Fenerbahçe,EuroLeague,G,10,11.9,1.3,3.6,0.361,0.7,2.0,0.350,0.6,1.6,0.375,0.458,0.2,0.4,0.500,0.3,0.8,1.1,0.3,0.5,0.0,0.2,1.8,3.5,79.0,218,83.0,56
Trayce Jackson-Davis,23,Indiana,NCAA,F,32,34.5,8.2,14.1,0.581,0.0,0.0,0.000,8.2,14.1,0.581,0.581,4.6,6.6,0.695,2.8,8.0,10.8,4.0,0.8,2.9,2.5,1.7,20.9,80.25,240.4,85.0,57
Chris Livingston,19,Kentucky,NCAA,F,34,22.4,2.3,5.4,0.429,0.5,1.7,0.305,1.8,3.7,0.488,0.478,1.1,1.6,0.722,1.1,3.1,4.2,0.7,0.4,0.4,0.9,1.7,6.3,78.0,219.2,83.25,58
Drew Peterson,23,Southern California,NCAA,G,33,35.9,5.0,11.2,0.442,1.5,4.1,0.358,3.5,7.2,0.489,0.507,2.5,3.3,0.752,0.9,5.4,6.2,4.3,1.1,0.8,2.7,1.7,13.9,80.0,185.0,85.0,Undrafted
Jules Bernard,22,UCLA,NCAA,G,35,30.1,4.2,10.0,0.419,1.6,4.7,0.337,2.6,5.3,0.492,0.499,2.8,3.5,0.818,0.8,3.9,4.7,1.7,1.0,0.2,1.0,1.7,12.8,78.0,205.0,79.0,Undrafted
Matthew Hurt,21,Duke,NCAA,F,24,32.7,6.8,12.3,0.556,2.3,5.3,0.444,4.5,7.0,0.639,0.651,2.3,3.2,0.724,1.5,4.7,6.2,1.4,0.8,0.7,1.2,3.2,18.3,80.5,232.4,81.5,Undrafted
Izaiah Brockington,23,Iowa State,NCAA,G,35,34.6,6.4,14.4,0.447,1.0,2.7,0.362,5.5,11.7,0.467,0.481,3.1,3.9,0.775,1.7,5.2,6.8,1.6,1.3,0.3,2.0,1.9,16.9,76.0,196,80.0,Undrafted
Adama Sanogo,21,Connecticut,NCAA,F,39,26.5,7.1,11.7,0.606,0.5,1.3,0.365,6.6,10.4,0.637,0.627,2.5,3.3,0.766,2.6,5.1,7.7,1.3,0.7,0.8,1.9,2.7,17.2,79.25,257.8,86.75,Undrafted
Taze Moore,25,Houston,NCAA,F,36,30.1,4.2,9.4,0.441,1.2,3.8,0.319,2.9,5.6,0.525,0.506,0.9,1.2,0.727,1.6,3.3,4.9,2.9,1.6,0.6,1.4,2.3,10.4,77.0,195,81.0,Undrafted
Ricky Council IV,21,Arkansas,NCAA,G,36,34.1,5.2,12.0,0.433,0.9,3.5,0.270,4.3,8.5,0.500,0.472,4.8,6.1,0.794,0.9,2.7,3.6,2.3,1.1,0.3,2.1,1.8,16.1,77.0,208,82.0,Undrafted
Dexter Dennis,24,Texas A&M,NCAA,G,34,28.7,3.1,8.0,0.392,1.3,4.2,0.310,1.9,3.9,0.481,0.473,1.9,2.4,0.771,1.3,4.4,5.7,1.2,0.8,0.6,1.0,1.9,9.5,78.0,210,83.0,Undrafted
Craig Porter Jr.,23,Wichita State,NCAA,G,31,33.6,5.2,10.8,0.478,1.2,3.3,0.363,4.0,7.5,0.528,0.533,2.0,3.0,0.685,1.3,4.9,6.2,4.9,1.5,1.5,2.5,1.9,13.5,73.0,180,77.0,Undrafted
Tosan Evbuomwan,22,Princeton,NCAA,F,32,31.3,5.8,11.3,0.515,0.3,1.1,0.324,5.5,10.3,0.535,0.530,3.0,4.6,0.655,1.7,4.6,6.3,4.9,0.8,0.6,2.9,2.3,15.1,79.0,217,83.0,Undrafted
Trey Jemison III,23,UAB,NCAA,C,39,25.2,3.6,6.1,0.586,0.0,0.0,0.000,3.6,6.1,0.588,0.586,1.9,3.0,0.644,2.7,5.7,8.4,0.5,0.6,1.7,1.1,2.8,9.1,82.0,260,86.0,Undrafted
Javon Freeman-Liberty,23,DePaul,NCAA,G,24,34.9,7.3,17.0,0.430,2.0,5.5,0.368,5.3,11.5,0.460,0.490,5.0,6.7,0.739,1.8,5.5,7.3,3.2,1.7,0.1,2.2,2.2,21.7,75.0,182.6,81.0,Undrafted
Duop Reath,22,Louisiana State,NCAA,F,33,24.2,5.1,9.3,0.544,0.6,1.4,0.422,4.5,7.9,0.565,0.575,1.8,2.9,0.629,1.9,3.4,5.3,0.7,0.5,1.0,1.7,2.5,12.5,81.0,245,85.0,Undrafted
