Player,Age,Team,League,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Height,Weight,Wingspan,DraftPos
Ty Jerome,21,Virginia,NCAA,G,37,33.9,4.8,11.1,0.435,2.1,5.4,0.399,2.7,5.7,0.469,0.532,1.8,2.5,0.736,0.5,3.8,4.2,5.5,1.5,0.0,1.6,1.7,13.6,76.25,194.4,76.0,24
Nassir Little,19,North Carolina,NCAA,F,36,18.2,3.6,7.6,0.478,0.4,1.4,0.269,3.3,6.2,0.527,0.504,2.1,2.8,0.770,1.6,3.0,4.6,0.7,0.5,0.5,1.3,1.6,9.8,76.5,224.2,85.25,25
Dylan Windler,22,Belmont,NCAA,F,33,33.2,7.4,13.6,0.540,3.0,7.1,0.429,4.3,6.6,0.659,0.651,3.5,4.2,0.847,1.9,8.9,10.8,2.5,1.4,0.6,2.1,2.1,21.3,78.25,195.8,82.0,26
Mfiondu Kabengele,21,Florida State,NCAA,F,37,21.6,4.4,8.8,0.502,0.6,1.8,0.369,3.8,7.1,0.534,0.538,3.7,4.9,0.761,2.1,3.8,5.9,0.3,0.6,1.5,1.3,2.6,13.2,80.75,256.2,87.0,27
Jordan Poole,19,Michigan,NCAA,G,37,33.1,4.4,10.0,0.436,2.0,5.5,0.369,2.3,4.5,0.518,0.538,2.0,2.4,0.833,0.2,2.8,3.0,2.2,1.1,0.2,1.5,2.0,12.8,75.5,190.8,78.75,28
Keldon Johnson,19,Kentucky,NCAA,G,37,30.7,4.6,10.1,0.461,1.2,3.2,0.381,3.4,6.9,0.498,0.521,2.9,4.2,0.703,1.3,4.5,5.9,1.6,0.8,0.2,1.6,2.2,13.5,76.75,216.4,81.25,29
Kevin Porter Jr.,18,Southern California,NCAA,G,21,22.1,3.5,7.5,0.471,1.3,3.2,0.412,2.2,4.2,0.517,0.561,1.1,2.2,0.522,1.0,3.0,4.0,1.4,0.8,0.5,1.9,2.1,9.5,76.0,212.6,81.0,30
Nic Claxton,20,Georgia,NCAA,C,32,31.6,4.3,9.3,0.460,0.6,2.0,0.281,3.7,7.3,0.509,0.490,3.8,6.0,0.641,2.3,6.3,8.6,1.8,1.1,2.5,2.1,2.8,13.0,82.0,216.6,86.5,31
KZ Okpala,20,Stanford,NCAA,F,29,32.7,5.9,12.7,0.463,1.1,3.0,0.368,4.8,9.7,0.493,0.507,4.0,6.0,0.671,1.2,4.5,5.7,2.0,1.0,0.5,2.9,2.5,16.8,79.25,209.6,85.75,32
Carsen Edwards,21,Purdue,NCAA,G,36,35.4,7.7,19.5,0.394,3.8,10.6,0.355,3.9,9.0,0.440,0.490,5.1,6.1,0.837,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2.0,24.3,70.75,199.4,78.0,33
Bruno Fernando,20,Maryland,NCAA,C,34,30.0,5.1,8.4,0.607,0.1,0.3,0.300,5.0,8.1,0.618,0.612,3.3,4.3,0.779,2.9,7.7,10.6,2.0,0.6,1.9,2.8,2.7,13.6,80.75,237.0,87.25,34
Cody Martin,23,Nevada,NCAA,G,34,34.4,4.4,8.8,0.505,1.0,2.8,0.358,3.4,6.0,0.574,0.562,2.2,2.9,0.763,0.9,3.5,4.5,4.9,1.4,0.7,1.9,2.5,12.1,76.75,192.2,82.25,36
Deividas Sirvydis,19,Rytas,EuroCup,G,17,14.2,1.8,3.6,0.484,1.1,2.4,0.463,0.6,1.2,0.524,0.653,0.8,1.0,0.765,0.3,1.6,1.9,0.6,0.1,0.0,0.5,1.5,5.4,80.0,190,80.0,37
Daniel Gafford,20,Arkansas,NCAA,F,32,28.7,6.7,10.1,0.660,0.0,0.0,0.000,6.7,10.1,0.660,0.660,3.6,6.0,0.591,2.8,5.8,8.7,0.7,0.9,2.0,2.4,2.8,16.9,81.25,237.6,86.25,38
Alen Smailagic,18,SCW,NBA G League,F,47,17.4,3.4,6.9,0.497,0.4,1.7,0.244,3.0,5.2,0.577,0.522,1.8,2.7,0.659,2.1,1.9,4.1,1.0,0.9,0.9,1.4,2.3,9.1,82.0,215,86.0,39
Justin James,22,Wyoming,NCAA,G,32,38.2,7.1,17.4,0.409,1.6,5.3,0.296,5.6,12.1,0.459,0.454,6.3,8.4,0.741,1.0,7.5,8.5,4.4,1.5,0.6,4.2,2.1,22.1,79.0,190,85.0,40
Eric Paschall,22,Villanova,NCAA,F,36,36.1,5.4,12.1,0.447,1.9,5.6,0.348,3.5,6.5,0.532,0.528,3.8,5.0,0.746,1.3,4.9,6.1,2.1,0.7,0.5,2.3,2.1,16.5,78.0,254.4,83.75,41
Admiral Schofield,22,Tennessee,NCAA,G,37,31.8,6.4,13.6,0.474,2.0,4.8,0.418,4.4,8.8,0.505,0.548,1.6,2.3,0.698,1.2,5.0,6.1,2.0,0.9,0.5,1.9,2.5,16.5,76.0,240.6,81.75,42
Jaylen Nowell,19,Washington,NCAA,G,36,34.4,6.1,12.1,0.502,1.4,3.2,0.440,4.6,8.8,0.525,0.561,2.6,3.4,0.779,1.0,4.3,5.3,3.1,1.3,0.3,2.9,2.3,16.2,75.25,202.4,79.25,43
Bol Bol,19,Oregon,NCAA,C,9,29.8,8.2,14.7,0.561,1.4,2.8,0.520,6.8,11.9,0.570,0.610,3.1,4.1,0.757,2.1,7.4,9.6,1.0,0.8,2.7,2.0,1.7,21.0,84.75,208.0,91.0,44
Isaiah Roby,21,Nebraska,NCAA,F,35,31.2,4.2,9.3,0.454,0.8,2.4,0.333,3.4,6.9,0.496,0.497,2.6,3.8,0.677,1.9,5.0,6.9,1.9,1.3,1.9,2.0,3.2,11.8,79.25,214.0,85.0,45
Talen Horton-Tucker,18,Iowa State,NCAA,G,35,27.2,4.4,10.9,0.406,1.4,4.5,0.308,3.0,6.4,0.475,0.470,1.6,2.5,0.625,0.7,4.2,4.9,2.3,1.3,0.7,1.7,2.3,11.8,74.5,235.4,85.25,46
Ignas Brazdeikis,20,Michigan,NCAA,F,37,29.6,5.1,11.0,0.462,1.5,3.9,0.392,3.6,7.1,0.500,0.531,3.1,4.1,0.773,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8,77.75,220.8,81.25,47
Terance Mann,22,Florida State,NCAA,G,37,31.7,4.0,7.9,0.505,0.8,2.1,0.390,3.2,5.8,0.547,0.557,2.6,3.4,0.790,2.5,4.0,6.5,2.5,0.7,0.3,1.8,2.2,11.4,76.75,204.6,79.75,48
Quinndary Weatherspoon,22,Mississippi State,NCAA,G,34,34.0,6.3,12.3,0.508,1.6,4.1,0.396,4.6,8.2,0.564,0.574,4.4,5.4,0.809,1.3,3.4,4.7,2.8,1.7,0.3,2.9,2.1,18.5,75.0,206.6,81.0,49
Jarrell Brantley,22,College of Charleston,NCAA,F,33,34.0,7.2,13.9,0.517,1.2,3.5,0.328,6.0,10.4,0.582,0.559,3.9,4.9,0.785,1.7,6.7,8.4,2.4,1.4,0.9,2.6,2.7,19.4,79.0,254,85.0,50
Tremont Waters,21,Louisiana State,NCAA,G,33,32.4,5.2,12.1,0.430,1.7,5.2,0.327,3.5,6.9,0.507,0.500,3.2,3.9,0.813,0.3,2.5,2.8,5.8,2.9,0.1,3.5,1.9,15.3,69.5,172.4,74.25,51
Jalen McDaniels,21,San Diego State,NCAA,F,34,31.0,6.2,13.4,0.466,0.7,2.2,0.320,5.5,11.2,0.495,0.492,2.7,3.7,0.732,2.0,6.3,8.3,2.1,1.1,0.5,2.4,2.9,15.9,80.25,191.6,84.25,52
Justin Wright-Foreman,22,Hofstra,NCAA,G,35,37.7,9.4,18.5,0.511,3.1,7.4,0.425,6.3,11.1,0.568,0.596,5.1,5.9,0.864,0.3,3.7,4.0,2.9,0.9,0.2,2.6,1.9,27.1,74.0,190,79.0,53
Marial Shayok,23,Iowa State,NCAA,G,34,32.9,6.7,13.6,0.496,2.1,5.4,0.386,4.6,8.2,0.568,0.573,3.2,3.6,0.878,1.4,3.5,4.9,2.0,0.9,0.2,2.7,2.1,18.7,76.5,196.8,84.25,54
Kyle Guy,21,Virginia,NCAA,G,38,35.4,5.2,11.6,0.449,3.2,7.4,0.426,2.1,4.2,0.491,0.585,1.8,2.2,0.833,0.7,3.8,4.5,2.1,0.7,0.1,1.4,1.0,15.4,72.75,167.8,76.5,55
Jaylen Hands,20,UCLA,NCAA,G,33,31.2,4.8,11.6,0.413,2.0,5.4,0.373,2.8,6.2,0.447,0.499,2.6,3.3,0.780,0.4,3.3,3.7,6.1,1.3,0.2,3.2,1.2,14.2,73.5,180.4,77.5,56
Jordan Bone,21,Tennessee,NCAA,G,37,32.9,5.0,10.8,0.465,1.4,3.8,0.355,3.7,7.0,0.525,0.528,2.1,2.5,0.835,0.5,2.7,3.2,5.8,0.7,0.1,2.0,1.3,13.5,73.5,179.0,75.25,57
Miye Oni,21,Yale,NCAA,G,29,31.0,5.8,13.1,0.441,1.9,5.2,0.371,3.8,7.9,0.487,0.515,3.7,4.7,0.793,0.7,5.6,6.3,3.6,0.9,1.3,2.6,2.7,17.1,76.25,205.6,82.75,58
Dewan Hernandez,22,Miami (FL),NCAA,F,32,25.8,4.6,8.0,0.576,0.0,0.1,0.000,4.6,7.9,0.583,0.576,2.2,3.2,0.689,2.0,4.6,6.7,0.4,0.5,1.0,1.4,1.9,11.4,81,232.8,85.75,59
Vanja Marinković,22,Partizan,EuroCup,G,16,29.1,4.3,10.8,0.395,1.9,5.4,0.356,2.3,5.3,0.435,0.486,2.0,2.8,0.727,0.4,1.8,2.3,2.3,0.4,0.1,1.6,2.3,12.4,78,194,78,60
Luguentz Dort,20,Arizona State,NCAA,G,34,31.5,5.1,12.6,0.405,1.6,5.2,0.307,3.5,7.5,0.472,0.467,4.3,6.1,0.700,1.3,3.0,4.3,2.3,1.5,0.2,2.9,3.0,16.1,74.75,222.2,80.5,Undrafted
Terence Davis,21,Ole Miss,NCAA,G,33,31.0,5.4,12.2,0.444,2.0,5.3,0.371,3.5,6.9,0.500,0.525,2.4,3.1,0.772,1.1,4.7,5.8,3.5,1.6,0.6,2.8,2.7,15.2,75,192.4,80.75,Undrafted
Javonte Green,21,Radford,NCAA,F,34,26.2,5.4,10.0,0.544,0.0,0.3,0.111,5.4,9.7,0.556,0.546,4.5,6.5,0.697,2.9,6.2,9.0,1.3,1.9,0.9,2.0,2.5,15.4,76,205,82,Undrafted
Amir Coffey,22,Minnesota,NCAA,G,36,35.2,5.5,12.6,0.436,1.1,3.8,0.304,4.4,8.9,0.492,0.481,4.5,6.1,0.740,0.7,2.9,3.6,3.2,0.9,0.2,2.3,1.5,16.6,78.75,210,79.25,Undrafted
Gabe Vincent,21,UC Santa Barbara,NCAA,G,32,29.1,4.3,9.6,0.450,1.7,4.6,0.377,2.6,5.0,0.516,0.539,2.1,2.6,0.805,0.1,1.8,1.9,3.3,1.1,0.2,1.2,2.9,12.4,74,190,79,Undrafted
