Player,Age,Team,League,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Height,Weight,Wingspan,DraftPos
Zion Williamson,18,Duke,NCAA,F,33,30.0,9.0,13.2,0.680,0.7,2.2,0.338,8.2,11.0,0.747,0.708,3.5,5.4,0.640,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,77.75,285,82.5,1
Ja Morant,19,Murray State,NCAA,G,33,36.6,8.0,16.1,0.499,1.7,4.8,0.363,6.3,11.3,0.556,0.553,6.7,8.2,0.813,1.2,4.5,5.7,10.0,1.8,0.8,5.2,1.5,24.5,74.5,175,78.0,2
R.J. Barrett,18,Duke,NCAA,F,38,35.3,8.4,18.5,0.454,1.9,6.2,0.308,6.5,12.2,0.529,0.506,3.9,5.9,0.665,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6,77.0,202,82.0,3
De'Andre Hunter,21,Virginia,NCAA,G,38,32.5,5.4,10.4,0.520,1.2,2.8,0.438,4.2,7.6,0.550,0.579,3.2,4.1,0.783,1.4,3.7,5.1,2.0,0.6,0.6,1.4,2.0,15.2,79.0,225,86.0,4
Darius Garland,19,Vanderbilt,NCAA,G,5,27.8,5.8,10.8,0.537,2.2,4.6,0.478,3.6,6.2,0.581,0.639,2.4,3.2,0.750,0.4,3.4,3.8,2.6,0.8,0.4,3.0,1.4,16.2,73.0,175,77.0,5
Jarrett Culver,20,Texas Tech,NCAA,G,38,32.5,6.7,14.5,0.461,1.3,4.2,0.304,5.4,10.3,0.526,0.505,3.9,5.5,0.707,1.4,5.0,6.4,3.7,1.5,0.6,2.7,1.9,18.5,77.25,194.2,81.5,6
Coby White,19,North Carolina,NCAA,G,35,28.5,5.4,12.7,0.423,2.3,6.6,0.353,3.0,6.1,0.500,0.516,3.0,3.7,0.800,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,75.5,191.4,77.0,7
Jaxson Hayes,18,Texas,NCAA,F,32,23.3,3.8,5.3,0.728,0.0,0.0,0.0,3.8,5.3,0.728,0.728,2.3,3.1,0.740,1.8,3.3,5.0,0.3,0.6,2.2,0.9,3.3,10.0,82.25,218.6,87.5,8
Rui Hachimura,21,Gonzaga,NCAA,F,37,30.2,7.4,12.6,0.591,0.4,1.0,0.417,7.0,11.6,0.606,0.608,4.4,6.0,0.739,1.4,5.1,6.5,1.5,0.9,0.7,1.8,2.0,19.7,79.75,230,86.0,9
Cam Reddish,19,Duke,NCAA,F,36,29.7,4.3,12.0,0.356,2.5,7.4,0.333,1.8,4.6,0.394,0.459,2.4,3.2,0.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,78.5,207.8,84.5,10
Cameron Johnson,23,North Carolina,NCAA,G,36,29.9,5.9,11.6,0.506,2.7,5.8,0.457,3.2,5.8,0.556,0.621,2.5,3.1,0.818,1.8,3.9,5.8,2.4,1.2,0.3,1.5,1.5,16.9,79.0,205.2,82.0,11
P.J. Washington,20,Kentucky,NCAA,F,35,29.3,5.4,10.4,0.522,0.9,2.2,0.423,4.5,8.2,0.549,0.567,3.4,5.1,0.663,2.3,5.2,7.5,1.8,0.8,1.2,2.0,2.5,15.2,78.5,230.4,86.25,12
Tyler Herro,19,Kentucky,NCAA,G,37,32.6,5.0,10.9,0.462,1.6,4.6,0.355,3.4,6.3,0.538,0.536,2.4,2.5,0.935,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3,14.0,76.5,192.4,75.25,13
Romeo Langford,19,Indiana,NCAA,G,32,34.1,5.5,12.3,0.448,1.1,3.9,0.272,4.5,8.4,0.530,0.491,4.4,6.1,0.722,1.4,4.0,5.4,2.3,0.8,0.8,2.1,1.9,16.5,76.5,215,83.0,14
Sekou Doumbouya,18,Limoges,EuroCup,F,8,14.9,2.9,5.3,0.548,0.5,2.0,0.250,2.4,3.3,0.731,0.594,0.6,1.0,0.625,0.9,1.9,2.8,0.6,0.9,0.5,1.3,2.3,6.9,81.0,230,83.0,15
Chuma Okeke,20,Auburn,NCAA,F,38,29.1,4.4,8.9,0.496,1.4,3.7,0.387,3.0,5.2,0.574,0.577,1.7,2.4,0.722,2.8,4.1,6.8,1.9,1.8,1.2,1.7,1.9,12.0,79.0,230,84.0,16
Nickeil Alexander-Walker,20,Virginia Tech,NCAA,G,34,34.3,5.6,11.8,0.474,1.7,4.6,0.374,3.9,7.2,0.537,0.546,3.3,4.2,0.778,0.5,3.6,4.1,4.0,1.9,0.5,2.9,2.3,16.2,76.25,203.8,81.5,17
Goga Bitadze,19,Budućnost,EuroLeague,C,13,24.2,3.9,7.2,0.548,0.4,1.2,0.313,3.5,5.9,0.597,0.569,3.8,5.4,0.714,2.5,3.8,6.4,1.2,0.5,2.3,1.4,3.6,12.1,82.5,250,86.0,18
Matisse Thybulle,22,Washington,NCAA,G,36,31.1,3.1,7.5,0.415,1.3,4.2,0.305,1.8,3.3,0.555,0.500,1.6,1.9,0.851,0.8,2.3,3.1,2.1,3.5,2.3,1.8,2.8,9.1,77.0,195,83.5,20
Brandon Clarke,22,Gonzaga,NCAA,F,37,28.1,6.9,10.1,0.687,0.1,0.4,0.267,6.8,9.7,0.705,0.693,2.9,4.2,0.694,3.1,5.5,8.6,1.9,1.2,3.2,1.5,2.1,16.9,79.25,207.2,80.25,21
Grant Williams,20,Tennessee,NCAA,F,37,31.9,6.3,11.2,0.564,0.4,1.2,0.326,5.9,10.0,0.593,0.582,5.8,7.0,0.819,2.2,5.3,7.5,3.2,1.1,1.5,2.2,3.0,18.8,77.75,240.2,81.75,22
